pais,codigo_iso,anio,tipo_ganado,intensidad_emisiones,eficiencia_carne,flag_emision_extrema,cluster_kmeans,cluster_asignado
Argentina,ARG,2017,ovino,0.949,0.0381,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2017,caprino,0.36,0.0058,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2018,bovino,0.947,0.1467,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2018,porcino,1.094,0.0942,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2018,avicola,0.032,0.0003,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2018,ovino,0.508,0.0819,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2018,caprino,0.618,0.0182,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2019,bovino,1.246,0.5698,0,2,Impacto Medio (Mix Ganadero Equilibrado)
Argentina,ARG,2019,porcino,2.799,0.1805,1,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2019,avicola,0.044,0.0033,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2019,ovino,0.409,0.023,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2019,caprino,1.122,0.0248,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2020,bovino,0.728,0.1136,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2020,porcino,0.696,0.1576,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2020,avicola,0.01,0.0019,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2020,ovino,0.442,0.0245,0,0,Baja Emisión (Dominio Avícola/Ovino)
Argentina,ARG,2020,caprino,12.869,0.3117,1,1,Alta Emisión (Bovino Intensivo)
Brasil,BRA,2011,bovino,3.005,0.0655,1,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2011,porcino,1.589,0.2581,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2011,avicola,0.016,0.0014,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2011,ovino,0.318,0.0045,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2011,caprino,0.112,0.0418,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2012,bovino,0.275,0.1074,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2012,porcino,4.89,0.7058,1,2,Impacto Medio (Mix Ganadero Equilibrado)
Brasil,BRA,2012,avicola,0.035,0.001,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2012,ovino,0.115,0.0494,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2012,caprino,0.225,0.006,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2013,bovino,2.751,0.4301,1,2,Impacto Medio (Mix Ganadero Equilibrado)
Brasil,BRA,2013,porcino,0.79,0.1822,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2013,avicola,0.025,0.0035,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2013,ovino,2.671,0.2853,1,2,Impacto Medio (Mix Ganadero Equilibrado)
Brasil,BRA,2013,caprino,17.381,0.5132,1,1,Alta Emisión (Bovino Intensivo)
Brasil,BRA,2014,bovino,0.516,0.1492,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2014,porcino,0.355,0.2152,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2014,avicola,0.06,0.0123,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2014,ovino,1.65,0.0621,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2014,caprino,0.074,0.0171,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2015,bovino,1.359,0.125,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2015,porcino,0.107,0.0596,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2015,avicola,0.011,0.0014,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2015,ovino,1.612,0.0129,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2015,caprino,0.198,0.0095,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2016,bovino,0.926,0.0035,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2016,porcino,3.163,0.6986,1,2,Impacto Medio (Mix Ganadero Equilibrado)
Brasil,BRA,2016,avicola,0.004,0.0021,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2016,ovino,0.33,0.0018,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2016,caprino,0.465,0.0009,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2017,bovino,1.339,0.0487,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2017,porcino,0.155,0.1562,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2017,avicola,0.002,0.0005,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2017,ovino,0.057,0.0198,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2017,caprino,0.277,0.0706,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2018,bovino,6.436,0.2744,1,2,Impacto Medio (Mix Ganadero Equilibrado)
Brasil,BRA,2018,porcino,1.552,0.3733,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2018,avicola,0.028,0.0022,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2018,ovino,0.2,0.0208,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2018,caprino,0.604,0.0273,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2019,bovino,0.859,0.0676,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2019,porcino,1.965,0.4414,0,2,Impacto Medio (Mix Ganadero Equilibrado)
Brasil,BRA,2019,avicola,0.014,0.0169,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2019,ovino,0.15,0.028,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2019,caprino,0.33,0.0111,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2020,bovino,0.353,0.2468,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2020,porcino,0.529,0.0741,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2020,avicola,0.019,0.0024,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2020,ovino,2.024,0.1045,0,0,Baja Emisión (Dominio Avícola/Ovino)
Brasil,BRA,2020,caprino,0.557,0.0372,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2011,bovino,0.831,0.0266,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2011,porcino,0.172,0.1512,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2011,avicola,0.018,0.0019,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2011,ovino,0.713,0.2229,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2011,caprino,1.151,0.045,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2012,bovino,4.867,0.3085,1,2,Impacto Medio (Mix Ganadero Equilibrado)
Estados Unidos,USA,2012,porcino,2.378,0.3512,0,2,Impacto Medio (Mix Ganadero Equilibrado)
Estados Unidos,USA,2012,avicola,0.018,0.0004,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2012,ovino,0.439,0.0265,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2012,caprino,1.108,0.0637,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2013,bovino,1.55,0.2376,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2013,porcino,0.73,0.059,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2013,avicola,0.131,0.0055,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2013,ovino,0.698,0.0477,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2013,caprino,5.885,0.2908,1,2,Impacto Medio (Mix Ganadero Equilibrado)
Estados Unidos,USA,2014,bovino,0.607,0.1448,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2014,porcino,5.981,1.0,1,2,Impacto Medio (Mix Ganadero Equilibrado)
Estados Unidos,USA,2014,avicola,0.006,0.0007,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2014,ovino,0.552,0.0235,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2014,caprino,0.586,0.0304,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2015,bovino,0.391,0.0866,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2015,porcino,0.883,0.1031,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2015,avicola,0.07,0.0039,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2015,ovino,0.155,0.0203,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2015,caprino,0.657,0.013,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2016,bovino,3.733,1.0,1,2,Impacto Medio (Mix Ganadero Equilibrado)
Estados Unidos,USA,2016,porcino,0.147,0.1349,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2016,avicola,0.029,0.0019,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2016,ovino,0.731,0.0012,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2016,caprino,0.119,0.0273,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2017,bovino,1.07,0.0748,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2017,porcino,0.713,0.0402,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2017,avicola,0.004,0.0005,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2017,ovino,1.459,0.0355,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2017,caprino,0.285,0.0093,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2018,bovino,0.555,0.1049,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2018,porcino,5.416,1.0,1,2,Impacto Medio (Mix Ganadero Equilibrado)
Estados Unidos,USA,2018,avicola,0.026,0.0004,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2018,ovino,0.391,0.0145,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2018,caprino,0.314,0.0125,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2019,bovino,1.006,0.3046,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2019,porcino,1.311,0.3989,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2019,avicola,0.027,0.0016,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2019,ovino,0.185,0.0391,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2019,caprino,0.106,0.0147,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2020,bovino,1.077,0.0322,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2020,porcino,3.363,1.0,1,2,Impacto Medio (Mix Ganadero Equilibrado)
Estados Unidos,USA,2020,avicola,0.118,0.0025,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2020,ovino,0.622,0.0051,0,0,Baja Emisión (Dominio Avícola/Ovino)
Estados Unidos,USA,2020,caprino,0.667,0.0356,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2011,bovino,0.452,0.0761,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2011,porcino,1.554,0.1482,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2011,avicola,0.024,0.001,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2011,ovino,0.039,0.0016,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2011,caprino,0.698,0.0353,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2012,bovino,0.955,0.0658,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2012,porcino,0.82,0.2822,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2012,avicola,0.042,0.0013,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2012,ovino,0.342,0.0118,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2012,caprino,0.925,0.0368,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2013,bovino,0.312,0.0655,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2013,porcino,0.737,0.0878,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2013,avicola,0.03,0.0007,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2013,ovino,0.153,0.0103,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2013,caprino,6.102,0.7657,1,2,Impacto Medio (Mix Ganadero Equilibrado)
India,IND,2014,bovino,0.55,0.0951,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2014,porcino,2.283,0.4104,0,2,Impacto Medio (Mix Ganadero Equilibrado)
India,IND,2014,avicola,0.023,0.0013,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2014,ovino,1.213,0.0214,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2014,caprino,0.076,0.0321,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2015,bovino,2.988,0.0229,1,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2015,porcino,0.624,0.1189,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2015,avicola,0.004,0.0005,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2015,ovino,0.295,0.0397,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2015,caprino,0.426,0.0255,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2016,bovino,0.679,0.0161,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2016,porcino,0.732,0.2502,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2016,avicola,0.007,0.0037,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2016,ovino,0.033,0.0176,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2016,caprino,0.802,0.0162,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2017,bovino,0.387,0.0607,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2017,porcino,0.497,0.0106,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2017,avicola,0.08,0.0034,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2017,ovino,0.331,0.0028,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2017,caprino,1.903,0.0338,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2018,bovino,4.51,0.4147,1,2,Impacto Medio (Mix Ganadero Equilibrado)
India,IND,2018,porcino,0.531,0.1126,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2018,avicola,0.009,0.0005,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2018,ovino,1.043,0.0222,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2018,caprino,0.18,0.0085,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2019,bovino,0.873,0.1093,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2019,porcino,1.139,0.1494,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2019,avicola,0.019,0.0024,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2019,ovino,0.094,0.0378,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2019,caprino,8.409,0.2309,1,2,Impacto Medio (Mix Ganadero Equilibrado)
India,IND,2020,bovino,0.072,0.1084,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2020,porcino,1.216,0.1678,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2020,avicola,0.031,0.001,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2020,ovino,0.429,0.0065,0,0,Baja Emisión (Dominio Avícola/Ovino)
India,IND,2020,caprino,0.523,0.0341,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2011,bovino,0.99,0.0703,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2011,porcino,0.405,0.262,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2011,avicola,0.093,0.0114,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2011,ovino,2.802,0.1195,1,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2011,caprino,0.373,0.0117,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2012,bovino,4.481,0.9679,1,2,Impacto Medio (Mix Ganadero Equilibrado)
China,CHN,2012,porcino,0.723,0.4286,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2012,avicola,0.014,0.0014,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2012,ovino,1.015,0.0015,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2012,caprino,0.441,0.0099,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2013,bovino,1.203,0.1216,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2013,porcino,0.887,0.0307,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2013,avicola,0.013,0.0009,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2013,ovino,0.81,0.0184,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2013,caprino,0.403,0.0196,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2014,bovino,0.094,0.1329,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2014,porcino,2.667,0.8033,1,2,Impacto Medio (Mix Ganadero Equilibrado)
China,CHN,2014,avicola,0.027,0.0017,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2014,ovino,1.092,0.0089,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2014,caprino,0.054,0.0004,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2015,bovino,4.806,0.2517,1,2,Impacto Medio (Mix Ganadero Equilibrado)
China,CHN,2015,porcino,0.923,0.0931,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2015,avicola,0.111,0.0089,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2015,ovino,0.92,0.0424,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2015,caprino,0.155,0.0244,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2016,bovino,1.948,0.2857,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2016,porcino,1.33,0.1436,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2016,avicola,0.015,0.0031,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2016,ovino,0.196,0.0531,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2016,caprino,1.798,0.0562,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2017,bovino,0.888,0.0606,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2017,porcino,0.819,0.1239,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2017,avicola,0.048,0.0047,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2017,ovino,0.134,0.0036,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2017,caprino,0.711,0.0169,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2018,bovino,1.055,0.0584,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2018,porcino,1.053,0.2333,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2018,avicola,0.009,0.0039,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2018,ovino,0.964,0.0017,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2018,caprino,8.925,0.2524,1,2,Impacto Medio (Mix Ganadero Equilibrado)
China,CHN,2019,bovino,1.591,0.0554,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2019,porcino,0.559,0.1597,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2019,avicola,0.175,0.0177,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2019,ovino,4.233,0.2031,1,2,Impacto Medio (Mix Ganadero Equilibrado)
China,CHN,2019,caprino,0.738,0.0337,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2020,bovino,1.369,0.1289,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2020,porcino,0.473,0.0639,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2020,avicola,0.021,0.0002,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2020,ovino,2.09,0.1257,0,0,Baja Emisión (Dominio Avícola/Ovino)
China,CHN,2020,caprino,0.132,0.0154,0,0,Baja Emisión (Dominio Avícola/Ovino)
Francia,FRA,2011,bovino,0.263,0.0485,0,0,Baja Emisión (Dominio Avícola/Ovino)
Francia,FRA,2011,porcino,0.438,0.2278,0,0,Baja Emisión (Dominio Avícola/Ovino)
Francia,FRA,2011,avicola,0.004,0.0053,0,0,Baja Emisión (Dominio Avícola/Ovino)
Francia,FRA,2011,ovino,0.478,0.0284,0,0,Baja Emisión (Dominio Avícola/Ovino)
Francia,FRA,2011,caprino,0.157,0.0117,0,0,Baja Emisión (Dominio Avícola/Ovino)
Francia,FRA,2012,bovino,1.41,0.1661,0,0,Baja Emisión (Dominio Avícola/Ovino)
Francia,FRA,2012,porcino,4.109,0.7045,1,2,Impacto Medio (Mix Ganadero Equilibrado)
Francia,FRA,2012,avicola,0.144,0.0083,0,0,Baja Emisión (Dominio Avícola/Ovino)
Francia,FRA,2012,ovino,0.495,0.0095,0,0,Baja Emisión (Dominio Avícola/Ovino)
Francia,FRA,2012,caprino,0.103,0.0303,0,0,Baja Emisión (Dominio Avícola/Ovino)
Francia,FRA,2013,bovino,0.928,0.0637,0,0,Baja Emisión (Dominio Avícola/Ovino)
Francia,FRA,2013,porcino,0.402,0.0911,0,0,Baja Emisión (Dominio Avícola/Ovino)
Francia,FRA,2013,avicola,0.02,0.001,0,0,Baja Emisión (Dominio Avícola/Ovino)
Francia,FRA,2013,ovino,0.699,0.0246,0,0,Baja Emisión (Dominio Avícola/Ovino)
Francia,FRA,2013,caprino,0.39,0.0008,0,0,Baja Emisión (Dominio Avícola/Ovino)
Francia,FRA,2014,bovino,0.366,0.1878,0,0,Baja Emisión (Dominio Avícola/Ovino)
Francia,FRA,2014,porcino,0.047,0.1553,0,0,Baja Emisión (Dominio Avícola/Ovino)
Francia,FRA,2014,avicola,0.019,0.0043,0,0,Baja Emisión (Dominio Avícola/Ovino)
Francia,FRA,2014,ovino,0.129,0.04,0,0,Baja Emisión (Dominio Avícola/Ovino)
Francia,FRA,2014,caprino,0.11,0.0133,0,0,Baja Emisión (Dominio Avícola/Ovino)
Francia,FRA,2015,bovino,1.634,0.0363,0,0,Baja Emisión (Dominio Avícola/Ovino)
