pais,codigo_iso,region,cultivo,anio,superficie_hectareas,rendimiento_ton_ha,produccion_ton,fertilizantes_kg_ha,agua_riego_m3_ha,tendencia_5_anios,temperatura_promedio,temperatura_maxima,temperatura_minima,precipitacion_total,humedad_relativa_promedio,dias_con_heladas,meses_estres_hidrico,indice_aridez,n_eventos_total_regiones,ev_granizo,ev_helada_tardia,ev_incendios,ev_inundacion,ev_ola_calor,ev_sequia_extrema,ev_sequia_moderada,ev_sequia_severa,ev_tormenta_severa,flag_anio_eventos_extremos,tiene_subsidio_activo,reg_bienestar_animal,reg_deforestacion,reg_emisiones_ganaderas,reg_etanol_mezcla,reg_pesticidas_neonicotinoides,reg_reservas_legales,reg_rotacion_cultivos,reg_uso_agua,acuerdo_Acuerdo_Mercosur,acuerdo_Acuerdo_Paris,acuerdo_Convenio_Biodiversidad,acuerdo_ODS_2030,acuerdo_Protocolo_Kyoto,acuerdo_TLCAN,objetivo_reduccion_emisiones_pct,precio_hist_medio_usd,precio_hist_max_usd,precio_hist_volatilidad,flag_sin_clima,flag_sin_precio_historico
Argentina,ARG,América del Sur,Cebada,2012,1878820,5.21,9791625,113,9830,-0.0237258391477064,18.87,29.07,7.8,865.67,60.33,74.0,2.33,13.47,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Té,2012,213792,1.84,393950,176,2489,0.0255782157533737,18.87,29.07,7.8,865.67,60.33,74.0,2.33,13.47,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Algodón,2012,676195,3.14,2125899,66,7304,-0.0118380713493463,18.87,29.07,7.8,865.67,60.33,74.0,2.33,13.47,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Girasol,2012,4717670,2.32,10930665,224,2876,0.0181710369026574,18.87,29.07,7.8,865.67,60.33,74.0,2.33,13.47,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Café,2012,142829,1.79,255495,90,8433,-0.049675468389827,18.87,29.07,7.8,865.67,60.33,74.0,2.33,13.47,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Trigo,2012,2301854,8.67,19961382,77,5889,0.0341669348172467,18.87,29.07,7.8,865.67,60.33,74.0,2.33,13.47,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.21,334.05,15.92,0,0
Argentina,ARG,América del Sur,Soja,2013,1746490,3.14,5478586,249,9689,0.0418493494395702,16.3,28.1,7.17,980.67,60.67,36.0,2.67,17.39,5.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.72,627.89,61.57,0,0
Argentina,ARG,América del Sur,Maíz,2013,8547523,4.09,34977816,262,6038,-0.0260547689661941,16.3,28.1,7.17,980.67,60.67,36.0,2.67,17.39,5.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.47,225.88,18.42,0,0
Argentina,ARG,América del Sur,Cebada,2013,1166539,4.83,5634708,67,9727,0.0265834429306987,16.3,28.1,7.17,980.67,60.67,36.0,2.67,17.39,5.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Té,2013,239649,2.53,605567,205,7932,0.0464362906007455,16.3,28.1,7.17,980.67,60.67,36.0,2.67,17.39,5.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Algodón,2013,3134608,1.7,5338042,216,7118,-0.0061899916085495,16.3,28.1,7.17,980.67,60.67,36.0,2.67,17.39,5.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Girasol,2013,1043240,1.41,1472007,191,4770,0.0088440114410351,16.3,28.1,7.17,980.67,60.67,36.0,2.67,17.39,5.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Café,2013,350614,1.76,617863,270,6413,-0.0429142650111346,16.3,28.1,7.17,980.67,60.67,36.0,2.67,17.39,5.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Trigo,2013,3993322,3.17,12652195,196,8744,-0.0257002757604275,16.3,28.1,7.17,980.67,60.67,36.0,2.67,17.39,5.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.21,334.05,15.92,0,0
Argentina,ARG,América del Sur,Soja,2014,3515508,2.37,8318994,158,7735,-0.0032975331963325,18.3,29.7,10.6,980.33,50.67,24.0,3.0,15.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.72,627.89,61.57,0,0
Argentina,ARG,América del Sur,Maíz,2014,1869306,4.07,7615290,77,5073,-0.0308409927858346,18.3,29.7,10.6,980.33,50.67,24.0,3.0,15.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.47,225.88,18.42,0,0
Argentina,ARG,América del Sur,Cebada,2014,307216,3.35,1029879,286,2235,-0.0056869254946543,18.3,29.7,10.6,980.33,50.67,24.0,3.0,15.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Té,2014,316633,1.28,406569,53,2528,0.0426366983008127,18.3,29.7,10.6,980.33,50.67,24.0,3.0,15.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Algodón,2014,767759,2.44,1876140,281,1960,-0.0335362878598473,18.3,29.7,10.6,980.33,50.67,24.0,3.0,15.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Girasol,2014,3031400,2.23,6761835,158,8973,-0.0345203174725935,18.3,29.7,10.6,980.33,50.67,24.0,3.0,15.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Café,2014,31012,1.81,56187,64,1821,0.0084177594458971,18.3,29.7,10.6,980.33,50.67,24.0,3.0,15.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Trigo,2014,4568180,3.05,13923967,97,2122,0.0095035106450027,18.3,29.7,10.6,980.33,50.67,24.0,3.0,15.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.21,334.05,15.92,0,0
Argentina,ARG,América del Sur,Soja,2015,2166107,3.97,8606247,198,1651,0.0119381510332103,13.57,21.53,4.4,874.0,55.67,50.67,3.0,19.2,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.72,627.89,61.57,0,0
Argentina,ARG,América del Sur,Maíz,2015,9940032,5.98,59471302,221,6147,-0.0261314047384154,13.57,21.53,4.4,874.0,55.67,50.67,3.0,19.2,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.47,225.88,18.42,0,0
Argentina,ARG,América del Sur,Cebada,2015,1412147,5.28,7455970,289,2188,-0.0490684543115753,13.57,21.53,4.4,874.0,55.67,50.67,3.0,19.2,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Té,2015,312383,2.27,708453,117,3170,0.0433259377993709,13.57,21.53,4.4,874.0,55.67,50.67,3.0,19.2,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Algodón,2015,1159474,2.0,2321417,230,5956,0.011167776572595,13.57,21.53,4.4,874.0,55.67,50.67,3.0,19.2,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Girasol,2015,5139424,1.61,8249296,219,2697,0.0438930003927103,13.57,21.53,4.4,874.0,55.67,50.67,3.0,19.2,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Café,2015,57537,2.24,128997,122,4450,0.0217612187138797,13.57,21.53,4.4,874.0,55.67,50.67,3.0,19.2,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Trigo,2015,2126877,5.09,10818005,63,2512,0.0134284447309194,13.57,21.53,4.4,874.0,55.67,50.67,3.0,19.2,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.21,334.05,15.92,0,0
Argentina,ARG,América del Sur,Soja,2016,476888,2.89,1379775,117,3647,0.024123090834793,18.73,28.17,10.43,1178.33,66.33,80.67,1.0,19.18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.72,627.89,61.57,0,0
Argentina,ARG,América del Sur,Maíz,2016,7612796,6.63,50489823,226,3442,0.0045590289205522,18.73,28.17,10.43,1178.33,66.33,80.67,1.0,19.18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.47,225.88,18.42,0,0
Argentina,ARG,América del Sur,Cebada,2016,1395478,3.72,5186979,143,1653,0.0398924636526474,18.73,28.17,10.43,1178.33,66.33,80.67,1.0,19.18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Té,2016,124017,2.24,277394,273,7658,0.0473837022637289,18.73,28.17,10.43,1178.33,66.33,80.67,1.0,19.18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Algodón,2016,1107254,4.68,5178909,275,7755,-0.0475213638101811,18.73,28.17,10.43,1178.33,66.33,80.67,1.0,19.18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Girasol,2016,3091090,3.11,9604766,238,5065,-0.0233194290405528,18.73,28.17,10.43,1178.33,66.33,80.67,1.0,19.18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Café,2016,64708,1.02,66169,101,8541,-0.0150341575554081,18.73,28.17,10.43,1178.33,66.33,80.67,1.0,19.18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Trigo,2016,2185758,3.44,7525604,121,2137,0.0466889104048361,18.73,28.17,10.43,1178.33,66.33,80.67,1.0,19.18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.21,334.05,15.92,0,0
Argentina,ARG,América del Sur,Soja,2017,5205491,4.16,21656516,134,1452,-0.0384658248148572,18.63,26.63,7.67,886.67,58.33,62.0,4.0,14.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.72,627.89,61.57,0,0
Argentina,ARG,América del Sur,Maíz,2017,3769397,7.26,27375849,202,8119,-0.0154312888320199,18.63,26.63,7.67,886.67,58.33,62.0,4.0,14.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.47,225.88,18.42,0,0
Argentina,ARG,América del Sur,Cebada,2017,1052089,4.48,4716454,197,4114,-0.0245277493861418,18.63,26.63,7.67,886.67,58.33,62.0,4.0,14.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Té,2017,1542,2.42,3729,290,4228,-0.0135778528218735,18.63,26.63,7.67,886.67,58.33,62.0,4.0,14.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Algodón,2017,2484154,4.14,10287257,81,5920,0.0007122504035269,18.63,26.63,7.67,886.67,58.33,62.0,4.0,14.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Girasol,2017,3013252,1.88,5664213,157,7211,0.0177317945272732,18.63,26.63,7.67,886.67,58.33,62.0,4.0,14.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Café,2017,385154,1.73,668055,127,5700,-0.0289817315117358,18.63,26.63,7.67,886.67,58.33,62.0,4.0,14.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Trigo,2017,3112871,4.28,13314441,171,3780,0.0158850744998421,18.63,26.63,7.67,886.67,58.33,62.0,4.0,14.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.21,334.05,15.92,0,0
Argentina,ARG,América del Sur,Soja,2018,5362866,3.85,20666579,242,4848,0.0172795670557167,19.53,31.2,8.57,789.67,74.67,66.67,4.33,10.86,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.72,627.89,61.57,0,0
Argentina,ARG,América del Sur,Maíz,2018,3206769,3.78,12117610,206,2193,-0.004458383161991,19.53,31.2,8.57,789.67,74.67,66.67,4.33,10.86,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.47,225.88,18.42,0,0
Argentina,ARG,América del Sur,Cebada,2018,1469060,3.42,5030855,112,3417,0.0156058011111784,19.53,31.2,8.57,789.67,74.67,66.67,4.33,10.86,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Té,2018,48076,2.48,119051,228,9486,-0.0035450115425747,19.53,31.2,8.57,789.67,74.67,66.67,4.33,10.86,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Algodón,2018,547283,2.79,1526116,193,6198,0.0450039608443156,19.53,31.2,8.57,789.67,74.67,66.67,4.33,10.86,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Girasol,2018,5154094,2.69,13875282,90,8777,-0.0049930242753091,19.53,31.2,8.57,789.67,74.67,66.67,4.33,10.86,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Café,2018,507390,1.98,1002924,210,4919,-0.0225402553082461,19.53,31.2,8.57,789.67,74.67,66.67,4.33,10.86,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Trigo,2018,2122111,3.56,7551720,70,3267,-0.0349169341986913,19.53,31.2,8.57,789.67,74.67,66.67,4.33,10.86,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.21,334.05,15.92,0,0
Argentina,ARG,América del Sur,Soja,2019,1321690,3.14,4151744,188,8633,-0.0084225765896844,13.4,25.77,3.13,762.0,75.33,68.33,3.67,15.68,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.72,627.89,61.57,0,0
Argentina,ARG,América del Sur,Maíz,2019,6550902,7.19,47122614,55,7232,-0.0023020267442643,13.4,25.77,3.13,762.0,75.33,68.33,3.67,15.68,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.47,225.88,18.42,0,0
Argentina,ARG,América del Sur,Cebada,2019,803243,6.66,5350442,157,9818,0.024751566897805,13.4,25.77,3.13,762.0,75.33,68.33,3.67,15.68,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Té,2019,123988,1.79,221839,149,6507,0.0168873620622917,13.4,25.77,3.13,762.0,75.33,68.33,3.67,15.68,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Algodón,2019,832592,4.71,3917824,186,1441,0.0406928862586768,13.4,25.77,3.13,762.0,75.33,68.33,3.67,15.68,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Girasol,2019,258647,1.8,465199,96,1823,-0.0239843686080695,13.4,25.77,3.13,762.0,75.33,68.33,3.67,15.68,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
Argentina,ARG,América del Sur,Café,2019,231679,1.23,284510,242,7906,-0.0247728468217619,13.4,25.77,3.13,762.0,75.33,68.33,3.67,15.68,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,1
