pais,codigo_iso,region,anio,temperatura_promedio,temperatura_maxima,temperatura_minima,precipitacion_total,humedad_relativa_promedio,dias_con_heladas,meses_estres_hidrico,indice_aridez,eventos_str,n_eventos,ev_granizo,ev_helada_tardia,ev_incendios,ev_inundacion,ev_ola_calor,ev_sequia_extrema,ev_sequia_moderada,ev_sequia_severa,ev_tormenta_severa
Brasil,BRA,Amazonía,2017,16.7,29.2,4.1,665,61,37,6,11.06,ninguno,0,0,0,0,0,0,0,0,0,0
Brasil,BRA,Amazonía,2018,20.2,30.4,14.9,629,63,72,4,8.65,sequia_extrema,1,0,0,0,0,0,1,0,0,0
Brasil,BRA,Amazonía,2019,16.8,28.9,5.1,560,49,95,6,9.26,ninguno,0,0,0,0,0,0,0,0,0,0
Brasil,BRA,Amazonía,2020,22.4,33.2,15.9,519,40,33,4,6.44,sequia_moderada,1,0,0,0,0,0,0,1,0,0
Brasil,BRA,Mata Atlántica,2011,16.6,31.3,5.2,916,77,109,1,15.33,ninguno,0,0,0,0,0,0,0,0,0,0
Brasil,BRA,Mata Atlántica,2012,17.2,27.0,7.4,1086,64,1,4,17.54,ninguno,0,0,0,0,0,0,0,0,0,0
Brasil,BRA,Mata Atlántica,2013,19.2,28.8,5.1,333,40,107,9,4.82,sequia_severa|inundacion|sequia_extrema,3,0,0,0,1,0,1,0,1,0
Brasil,BRA,Mata Atlántica,2014,22.1,33.7,13.1,1486,46,42,2,18.68,ninguno,0,0,0,0,0,0,0,0,0,0
Brasil,BRA,Mata Atlántica,2015,19.0,33.7,13.4,712,76,66,3,10.41,ninguno,0,0,0,0,0,0,0,0,0,0
Brasil,BRA,Mata Atlántica,2016,14.4,21.7,2.2,653,51,5,4,12.6,ninguno,0,0,0,0,0,0,0,0,0,0
Brasil,BRA,Mata Atlántica,2017,24.0,38.1,17.7,679,59,7,3,7.86,ninguno,0,0,0,0,0,0,0,0,0,0
Brasil,BRA,Mata Atlántica,2018,13.9,20.9,7.7,587,45,60,3,11.73,helada_tardia,1,0,1,0,0,0,0,0,0,0
Brasil,BRA,Mata Atlántica,2019,12.1,21.4,-1.9,945,68,99,4,21.69,ninguno,0,0,0,0,0,0,0,0,0,0
Brasil,BRA,Mata Atlántica,2020,20.0,32.5,9.0,1109,71,80,2,15.4,ninguno,0,0,0,0,0,0,0,0,0,0
Estados Unidos,USA,Corn Belt,2011,12.7,22.7,1.4,1072,47,96,4,23.45,inundacion|helada_tardia|sequia_extrema,3,0,1,0,1,0,1,0,0,0
Estados Unidos,USA,Corn Belt,2012,23.6,30.4,11.0,1053,83,38,1,12.39,ninguno,0,0,0,0,0,0,0,0,0,0
Estados Unidos,USA,Corn Belt,2013,10.9,23.7,-1.7,1434,53,39,1,36.54,ninguno,0,0,0,0,0,0,0,0,0,0
Estados Unidos,USA,Corn Belt,2014,17.6,24.7,5.9,575,60,20,7,9.08,ninguno,0,0,0,0,0,0,0,0,0,0
Estados Unidos,USA,Corn Belt,2015,11.9,26.5,-2.9,669,81,76,5,15.62,ninguno,0,0,0,0,0,0,0,0,0,0
Estados Unidos,USA,Corn Belt,2016,21.1,29.8,13.0,1449,62,106,2,19.08,ninguno,0,0,0,0,0,0,0,0,0,0
Estados Unidos,USA,Corn Belt,2017,21.0,26.6,11.9,803,81,103,3,10.62,ninguno,0,0,0,0,0,0,0,0,0,0
Estados Unidos,USA,Corn Belt,2018,11.4,16.6,2.1,956,64,41,2,23.29,ola_calor|tormenta_severa|granizo,3,1,0,0,0,1,0,0,0,1
Estados Unidos,USA,Corn Belt,2019,19.3,25.4,11.9,1242,60,92,2,17.88,ninguno,0,0,0,0,0,0,0,0,0,0
Estados Unidos,USA,Corn Belt,2020,17.1,32.0,6.2,1385,43,12,2,22.5,granizo|incendios|sequia_severa,3,1,0,1,0,0,0,0,1,0
Estados Unidos,USA,Great Plains,2011,11.0,25.8,-1.3,693,49,111,5,17.5,sequia_extrema|sequia_severa,2,0,0,0,0,0,1,0,1,0
Estados Unidos,USA,Great Plains,2012,11.4,24.6,-0.5,550,48,98,7,13.4,tormenta_severa|ola_calor|incendios,3,0,0,1,0,1,0,0,0,1
Estados Unidos,USA,Great Plains,2013,22.1,36.2,12.6,1473,53,23,2,18.51,ninguno,0,0,0,0,0,0,0,0,0,0
Estados Unidos,USA,Great Plains,2014,14.4,22.0,1.9,504,41,17,5,9.72,ninguno,0,0,0,0,0,0,0,0,0,0
Estados Unidos,USA,Great Plains,2015,11.5,20.9,6.2,788,72,111,7,19.03,sequia_moderada|helada_tardia|tormenta_severa,3,0,1,0,0,0,0,1,0,1
Estados Unidos,USA,Great Plains,2016,22.0,32.7,7.3,1285,47,68,0,16.22,ninguno,0,0,0,0,0,0,0,0,0,0
Estados Unidos,USA,Great Plains,2017,13.4,25.9,0.7,943,67,104,1,19.55,ninguno,0,0,0,0,0,0,0,0,0,0
Estados Unidos,USA,Great Plains,2018,15.3,22.1,4.5,921,69,67,0,16.72,ninguno,0,0,0,0,0,0,0,0,0,0
Estados Unidos,USA,Great Plains,2019,23.1,28.2,9.8,1372,41,1,2,16.5,ninguno,0,0,0,0,0,0,0,0,0,0
Estados Unidos,USA,Great Plains,2020,12.7,23.0,1.2,722,52,98,5,15.79,ninguno,0,0,0,0,0,0,0,0,0,0
Estados Unidos,USA,California,2011,23.5,36.2,16.4,1531,51,12,1,18.1,ninguno,0,0,0,0,0,0,0,0,0,0
Estados Unidos,USA,California,2012,11.4,19.7,3.2,1136,54,84,0,27.68,ninguno,0,0,0,0,0,0,0,0,0,0
Estados Unidos,USA,California,2013,12.9,25.6,7.6,602,68,15,4,12.96,ninguno,0,0,0,0,0,0,0,0,0,0
Estados Unidos,USA,California,2014,22.3,27.8,12.9,823,52,26,3,10.25,ninguno,0,0,0,0,0,0,0,0,0,0
Estados Unidos,USA,California,2015,20.4,32.6,14.2,1197,53,15,4,16.3,ninguno,0,0,0,0,0,0,0,0,0,0
Estados Unidos,USA,California,2016,23.7,38.6,10.7,1424,63,61,1,16.69,ninguno,0,0,0,0,0,0,0,0,0,0
Estados Unidos,USA,California,2017,13.7,28.3,7.7,348,63,39,9,7.06,ninguno,0,0,0,0,0,0,0,0,0,0
Estados Unidos,USA,California,2018,23.6,35.1,10.5,755,70,2,3,8.89,ninguno,0,0,0,0,0,0,0,0,0,0
Estados Unidos,USA,California,2019,24.7,29.8,14.5,585,48,88,7,6.58,sequia_extrema,1,0,0,0,0,0,1,0,0,0
Estados Unidos,USA,California,2020,17.3,26.0,8.2,306,50,53,8,4.91,ninguno,0,0,0,0,0,0,0,0,0,0
India,IND,Punjab,2011,14.0,22.7,-0.2,1561,50,3,1,30.97,ninguno,0,0,0,0,0,0,0,0,0,0
India,IND,Punjab,2012,17.8,23.1,8.1,776,49,116,5,12.11,sequia_moderada|tormenta_severa,2,0,0,0,0,0,0,1,0,1
India,IND,Punjab,2013,16.9,30.9,11.0,1031,44,14,2,16.95,sequia_moderada,1,0,0,0,0,0,0,1,0,0
India,IND,Punjab,2014,24.3,37.4,19.3,993,70,60,4,11.35,ninguno,0,0,0,0,0,0,0,0,0,0
India,IND,Punjab,2015,23.0,32.8,10.5,617,76,25,3,7.45,ninguno,0,0,0,0,0,0,0,0,0,0
India,IND,Punjab,2016,12.8,25.0,5.0,786,79,13,3,17.06,ninguno,0,0,0,0,0,0,0,0,0,0
India,IND,Punjab,2017,14.4,26.1,4.2,553,76,113,6,10.67,ninguno,0,0,0,0,0,0,0,0,0,0
India,IND,Punjab,2018,13.5,26.4,-1.3,1310,40,18,0,26.95,sequia_moderada|granizo|helada_tardia,3,1,1,0,0,0,0,1,0,0
India,IND,Punjab,2019,18.7,30.0,5.5,1248,76,51,1,18.54,incendios|helada_tardia,2,0,1,1,0,0,0,0,0,0
India,IND,Punjab,2020,17.1,32.1,10.2,568,61,103,5,9.23,tormenta_severa|helada_tardia,2,0,1,0,0,0,0,0,0,1
India,IND,Ganges,2011,22.9,30.5,10.1,1028,67,82,4,12.47,ninguno,0,0,0,0,0,0,0,0,0,0
India,IND,Ganges,2012,9.2,19.7,1.2,1132,62,39,0,34.18,ninguno,0,0,0,0,0,0,0,0,0,0
India,IND,Ganges,2013,18.1,27.1,3.7,1143,72,24,1,17.54,ninguno,0,0,0,0,0,0,0,0,0,0
India,IND,Ganges,2014,13.0,24.0,6.5,982,73,67,4,20.98,ninguno,0,0,0,0,0,0,0,0,0,0
India,IND,Ganges,2015,10.8,19.5,4.8,1012,50,81,1,26.03,ninguno,0,0,0,0,0,0,0,0,0,0
India,IND,Ganges,2016,20.5,35.1,6.0,1146,58,49,0,15.53,granizo|inundacion|sequia_extrema,3,1,0,0,1,0,1,0,0,0
India,IND,Ganges,2017,24.7,36.8,13.0,1447,53,118,2,16.27,sequia_moderada|sequia_severa,2,0,0,0,0,0,0,1,1,0
India,IND,Ganges,2018,19.7,32.6,8.2,1116,65,75,3,15.74,sequia_extrema|inundacion,2,0,0,0,1,0,1,0,0,0
India,IND,Ganges,2019,11.6,21.0,-0.1,1542,60,1,1,36.93,sequia_severa|sequia_extrema,2,0,0,0,0,0,1,0,1,0
India,IND,Ganges,2020,19.6,31.2,11.6,1025,47,69,1,14.53,ninguno,0,0,0,0,0,0,0,0,0,0
India,IND,Deccan,2011,19.9,33.7,5.4,1007,42,48,2,14.06,ninguno,0,0,0,0,0,0,0,0,0,0
India,IND,Deccan,2012,23.0,29.0,8.0,588,78,76,7,7.1,incendios|ola_calor|sequia_severa,3,0,0,1,0,1,0,0,1,0
India,IND,Deccan,2013,24.0,33.2,12.6,588,57,107,6,6.81,ninguno,0,0,0,0,0,0,0,0,0,0
India,IND,Deccan,2014,20.1,34.9,14.3,633,46,91,5,8.75,ninguno,0,0,0,0,0,0,0,0,0,0
India,IND,Deccan,2015,22.1,37.1,8.8,612,71,71,3,7.69,ninguno,0,0,0,0,0,0,0,0,0,0
India,IND,Deccan,2016,19.4,30.4,8.5,1123,81,12,0,16.08,ninguno,0,0,0,0,0,0,0,0,0,0
India,IND,Deccan,2017,19.4,28.6,10.5,416,42,44,10,5.96,ninguno,0,0,0,0,0,0,0,0,0,0
India,IND,Deccan,2018,19.6,30.3,14.4,948,61,12,1,13.44,granizo|sequia_moderada,2,1,0,0,0,0,0,1,0,0
India,IND,Deccan,2019,13.0,26.2,4.6,780,55,35,5,16.67,ninguno,0,0,0,0,0,0,0,0,0,0
India,IND,Deccan,2020,16.6,29.3,6.1,427,60,94,10,7.15,inundacion,1,0,0,0,1,0,0,0,0,0
China,CHN,Región Principal,2011,17.0,25.5,6.6,817,54,40,2,13.35,ninguno,0,0,0,0,0,0,0,0,0,0
China,CHN,Región Principal,2012,23.1,34.5,10.5,445,52,33,9,5.35,ninguno,0,0,0,0,0,0,0,0,0,0
China,CHN,Región Principal,2013,22.4,37.0,14.2,860,47,24,1,10.66,ninguno,0,0,0,0,0,0,0,0,0,0
China,CHN,Región Principal,2014,19.3,26.1,8.1,1424,44,25,4,20.5,ninguno,0,0,0,0,0,0,0,0,0,0
China,CHN,Región Principal,2015,12.6,24.8,2.3,1229,65,17,1,27.09,ninguno,0,0,0,0,0,0,0,0,0,0
China,CHN,Región Principal,2016,25.2,36.3,10.5,477,60,28,8,5.26,ninguno,0,0,0,0,0,0,0,0,0,0
China,CHN,Región Principal,2017,16.8,30.6,7.4,372,53,18,7,6.15,inundacion|tormenta_severa,2,0,0,0,1,0,0,0,0,1
China,CHN,Región Principal,2018,8.7,19.3,-6.3,619,52,52,6,19.76,ninguno,0,0,0,0,0,0,0,0,0,0
China,CHN,Región Principal,2019,12.5,25.0,0.4,950,63,102,3,21.11,ninguno,0,0,0,0,0,0,0,0,0,0
China,CHN,Región Principal,2020,21.6,29.8,8.3,956,84,31,1,12.29,helada_tardia|sequia_severa|tormenta_severa,3,0,1,0,0,0,0,0,1,1
Francia,FRA,Región Principal,2011,20.7,31.1,14.7,1160,78,29,3,15.57,ninguno,0,0,0,0,0,0,0,0,0,0
Francia,FRA,Región Principal,2012,21.2,28.9,7.8,1186,69,79,3,15.54,ninguno,0,0,0,0,0,0,0,0,0,0
Francia,FRA,Región Principal,2013,15.3,25.1,3.2,1209,44,87,2,21.95,tormenta_severa|sequia_moderada,2,0,0,0,0,0,0,1,0,1
Francia,FRA,Región Principal,2014,14.6,26.7,4.7,1302,85,97,0,24.77,ninguno,0,0,0,0,0,0,0,0,0,0
Francia,FRA,Región Principal,2015,23.3,31.6,12.6,1455,72,52,2,17.35,ninguno,0,0,0,0,0,0,0,0,0,0
Francia,FRA,Región Principal,2016,12.7,25.4,7.0,877,44,67,0,19.18,sequia_moderada|helada_tardia|ola_calor,3,0,1,0,0,1,0,1,0,0
Francia,FRA,Región Principal,2017,15.3,28.7,10.0,588,71,93,4,10.68,ninguno,0,0,0,0,0,0,0,0,0,0
Francia,FRA,Región Principal,2018,13.1,26.1,4.3,418,70,17,9,8.86,ninguno,0,0,0,0,0,0,0,0,0,0
Francia,FRA,Región Principal,2019,22.1,32.1,15.3,452,65,25,8,5.68,ninguno,0,0,0,0,0,0,0,0,0,0
Francia,FRA,Región Principal,2020,13.8,21.4,0.0,1387,43,71,4,27.92,ninguno,0,0,0,0,0,0,0,0,0,0
Alemania,DEU,Región Principal,2011,9.9,18.2,1.8,886,76,72,0,24.86,ninguno,0,0,0,0,0,0,0,0,0,0
Alemania,DEU,Región Principal,2012,14.6,21.8,6.1,404,83,116,10,7.69,ninguno,0,0,0,0,0,0,0,0,0,0
Alemania,DEU,Región Principal,2013,11.4,21.5,-1.7,731,68,3,4,17.81,ninguno,0,0,0,0,0,0,0,0,0,0
Alemania,DEU,Región Principal,2014,20.5,32.3,9.6,1589,50,115,2,21.53,ola_calor|sequia_severa,2,0,0,0,0,1,0,0,1,0
Alemania,DEU,Región Principal,2015,10.5,24.8,0.0,555,64,100,6,14.68,ninguno,0,0,0,0,0,0,0,0,0,0
Alemania,DEU,Región Principal,2016,16.9,31.5,7.0,411,65,5,7,6.76,ninguno,0,0,0,0,0,0,0,0,0,0
Alemania,DEU,Región Principal,2017,16.6,22.6,6.4,1574,82,83,4,26.34,ninguno,0,0,0,0,0,0,0,0,0,0
Alemania,DEU,Región Principal,2018,15.0,26.4,7.2,944,48,57,4,17.48,ninguno,0,0,0,0,0,0,0,0,0,0
Alemania,DEU,Región Principal,2019,21.8,27.0,15.8,626,75,61,6,7.98,ninguno,0,0,0,0,0,0,0,0,0,0
Alemania,DEU,Región Principal,2020,20.6,30.9,15.2,739,45,39,3,9.96,ninguno,0,0,0,0,0,0,0,0,0,0
Australia,AUS,Murray-Darling Basin,2011,23.6,33.9,18.1,1040,59,49,0,12.24,ninguno,0,0,0,0,0,0,0,0,0,0
Australia,AUS,Murray-Darling Basin,2012,11.5,21.7,4.7,1646,63,87,4,39.76,ninguno,0,0,0,0,0,0,0,0,0,0
Australia,AUS,Murray-Darling Basin,2013,19.3,25.0,12.3,1643,53,73,2,23.65,ninguno,0,0,0,0,0,0,0,0,0,0
Australia,AUS,Murray-Darling Basin,2014,20.9,25.9,13.5,281,61,22,8,3.73,ninguno,0,0,0,0,0,0,0,0,0,0
Australia,AUS,Murray-Darling Basin,2015,24.4,36.1,10.6,1466,67,87,4,16.69,inundacion,1,0,0,0,1,0,0,0,0,0
Australia,AUS,Murray-Darling Basin,2016,18.9,28.0,13.8,1178,66,48,2,17.31,ninguno,0,0,0,0,0,0,0,0,0,0
Australia,AUS,Murray-Darling Basin,2017,15.1,20.5,2.4,1374,48,84,3,25.28,ninguno,0,0,0,0,0,0,0,0,0,0
Australia,AUS,Murray-Darling Basin,2018,19.2,26.0,10.9,332,56,87,6,4.8,ninguno,0,0,0,0,0,0,0,0,0,0
Australia,AUS,Murray-Darling Basin,2019,20.1,26.2,13.9,1037,52,11,2,14.33,ninguno,0,0,0,0,0,0,0,0,0,0
Australia,AUS,Murray-Darling Basin,2020,17.2,23.3,11.8,1075,64,23,0,17.36,ninguno,0,0,0,0,0,0,0,0,0,0
Australia,AUS,Wheatbelt,2011,10.0,19.4,-2.7,1103,82,119,1,30.64,ninguno,0,0,0,0,0,0,0,0,0,0
Australia,AUS,Wheatbelt,2012,18.4,32.0,10.9,1601,51,44,2,24.17,sequia_extrema,1,0,0,0,0,0,1,0,0,0
Australia,AUS,Wheatbelt,2013,15.6,21.2,8.8,1315,52,42,4,23.42,ninguno,0,0,0,0,0,0,0,0,0,0
Australia,AUS,Wheatbelt,2014,21.0,35.6,15.4,684,83,8,7,9.05,ola_calor|sequia_extrema|sequia_severa,3,0,0,0,0,1,1,0,1,0
Australia,AUS,Wheatbelt,2015,16.5,21.9,2.5,816,83,29,2,13.74,ninguno,0,0,0,0,0,0,0,0,0,0
Australia,AUS,Wheatbelt,2016,8.8,16.0,-2.5,290,76,69,12,9.15,ninguno,0,0,0,0,0,0,0,0,0,0
Australia,AUS,Wheatbelt,2017,12.3,24.2,3.4,1267,55,87,2,28.61,ninguno,0,0,0,0,0,0,0,0,0,0
Australia,AUS,Wheatbelt,2018,18.8,28.3,5.0,632,54,18,4,9.34,ninguno,0,0,0,0,0,0,0,0,0,0
Australia,AUS,Wheatbelt,2019,15.7,25.0,7.7,1124,42,58,0,19.89,helada_tardia,1,0,1,0,0,0,0,0,0,0
Australia,AUS,Wheatbelt,2020,17.2,31.0,7.6,1620,68,56,3,26.16,helada_tardia|inundacion|incendios,3,0,1,1,1,0,0,0,0,0
Australia,AUS,Queensland Coast,2011,23.8,34.5,9.3,912,82,100,1,10.64,inundacion|tormenta_severa|sequia_severa,3,0,0,0,1,0,0,0,1,1
Australia,AUS,Queensland Coast,2012,19.4,26.5,13.0,1526,46,69,2,21.85,ninguno,0,0,0,0,0,0,0,0,0,0
Australia,AUS,Queensland Coast,2013,20.8,27.8,12.4,732,50,84,3,9.78,ninguno,0,0,0,0,0,0,0,0,0,0
Australia,AUS,Queensland Coast,2014,14.8,25.5,8.1,899,83,72,3,16.87,ninguno,0,0,0,0,0,0,0,0,0,0
Australia,AUS,Queensland Coast,2015,21.8,34.4,11.9,1198,79,119,1,15.27,incendios|inundacion,2,0,0,1,1,0,0,0,0,0
Australia,AUS,Queensland Coast,2016,21.8,26.9,8.2,762,43,42,3,9.71,sequia_severa,1,0,0,0,0,0,0,0,1,0
Australia,AUS,Queensland Coast,2017,24.0,32.6,9.9,595,77,115,3,6.89,ola_calor,1,0,0,0,0,1,0,0,0,0
Australia,AUS,Queensland Coast,2018,23.0,29.2,8.9,796,66,20,6,9.61,sequia_extrema|tormenta_severa|sequia_severa,3,0,0,0,0,0,1,0,1,1
Australia,AUS,Queensland Coast,2019,19.0,33.8,7.4,962,49,116,1,14.06,ninguno,0,0,0,0,0,0,0,0,0,0
Australia,AUS,Queensland Coast,2020,15.6,28.3,4.7,1149,63,119,1,20.46,ninguno,0,0,0,0,0,0,0,0,0,0
México,MEX,Región Principal,2011,16.5,24.9,8.1,796,45,113,7,13.4,ninguno,0,0,0,0,0,0,0,0,0,0
México,MEX,Región Principal,2012,15.9,30.8,3.0,549,82,25,3,9.59,ninguno,0,0,0,0,0,0,0,0,0,0
México,MEX,Región Principal,2013,25.1,34.3,18.4,807,56,24,4,8.93,incendios|sequia_moderada|ola_calor,3,0,0,1,0,1,0,1,0,0
México,MEX,Región Principal,2014,18.9,24.4,11.5,1196,59,33,1,17.58,ninguno,0,0,0,0,0,0,0,0,0,0
México,MEX,Región Principal,2015,15.4,27.0,7.1,901,42,16,3,16.25,ninguno,0,0,0,0,0,0,0,0,0,0
México,MEX,Región Principal,2016,21.6,35.6,12.8,1453,42,88,1,18.69,ninguno,0,0,0,0,0,0,0,0,0,0
México,MEX,Región Principal,2017,19.6,28.7,11.2,1274,62,92,3,18.06,ninguno,0,0,0,0,0,0,0,0,0,0
México,MEX,Región Principal,2018,13.3,19.1,1.6,442,60,110,11,9.23,ninguno,0,0,0,0,0,0,0,0,0,0
México,MEX,Región Principal,2019,18.6,24.2,7.9,489,55,99,8,7.3,sequia_extrema,1,0,0,0,0,0,1,0,0,0
México,MEX,Región Principal,2020,12.0,17.7,1.2,427,69,80,10,9.88,ninguno,0,0,0,0,0,0,0,0,0,0
Kenia,KEN,Región Principal,2011,21.9,36.1,7.6,1055,51,11,1,13.38,ninguno,0,0,0,0,0,0,0,0,0,0
Kenia,KEN,Región Principal,2012,20.6,30.9,10.8,440,52,90,11,5.93,sequia_severa|granizo|sequia_extrema,3,1,0,0,0,0,1,0,1,0
Kenia,KEN,Región Principal,2013,23.9,33.3,13.8,939,45,22,0,10.91,ninguno,0,0,0,0,0,0,0,0,0,0
Kenia,KEN,Región Principal,2014,25.7,32.6,17.5,634,54,20,4,6.85,sequia_severa,1,0,0,0,0,0,0,0,1,0
Kenia,KEN,Región Principal,2015,15.3,24.6,2.1,1257,55,67,1,22.82,ninguno,0,0,0,0,0,0,0,0,0,0
Kenia,KEN,Región Principal,2016,10.7,19.1,-1.6,1249,79,96,3,32.42,sequia_severa,1,0,0,0,0,0,0,0,1,0
