pais,codigo_iso,anio,tipo_ganado,cabezas_ganado,produccion_carne_ton,produccion_leche_lt,emisiones_ch4_ton_co2eq,intensidad_emisiones,eficiencia_carne,flag_emision_extrema,flag_eficiencia_anomala,flag_leche_no_aplica,temperatura_promedio,temperatura_maxima,temperatura_minima,precipitacion_total,humedad_relativa_promedio,dias_con_heladas,meses_estres_hidrico,indice_aridez,n_eventos_total_regiones,ev_granizo,ev_helada_tardia,ev_incendios,ev_inundacion,ev_ola_calor,ev_sequia_extrema,ev_sequia_moderada,ev_sequia_severa,ev_tormenta_severa,flag_anio_eventos_extremos,tiene_subsidio_activo,reg_bienestar_animal,reg_deforestacion,reg_emisiones_ganaderas,reg_etanol_mezcla,reg_pesticidas_neonicotinoides,reg_reservas_legales,reg_rotacion_cultivos,reg_uso_agua,acuerdo_Acuerdo_Mercosur,acuerdo_Acuerdo_Paris,acuerdo_Convenio_Biodiversidad,acuerdo_ODS_2030,acuerdo_Protocolo_Kyoto,acuerdo_TLCAN,objetivo_reduccion_emisiones_pct,flag_sin_clima,precio_referencia_usd,ingreso_bruto_usd,margen_pct,beneficio_neto_usd
Argentina,ARG,2016,caprino,14122975,397826,517329458.0,2164134,0.153,0.0282,0,0,0,18.73,28.17,10.43,1178.33,66.33,80.67,1.0,19.18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,4200.0,1670869200.0,0.1,167086920.0
Argentina,ARG,2017,bovino,7566960,1743540,7576185538.0,22525297,2.977,0.2304,1,0,0,18.63,26.63,7.67,886.67,58.33,62.0,4.0,14.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,4090.08,7131218083.2,0.1,713121808.32
Argentina,ARG,2017,porcino,15880125,809620,,8889107,0.56,0.051,0,0,1,18.63,26.63,7.67,886.67,58.33,62.0,4.0,14.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,2519.86,2040129053.2,0.1,204012905.32000002
Argentina,ARG,2017,avicola,1153883502,324265,,2864531,0.002,0.0003,0,0,1,18.63,26.63,7.67,886.67,58.33,62.0,4.0,14.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,1600.0,518824000.0,0.1,51882400.0
Argentina,ARG,2017,ovino,7015033,267474,331611842.0,6657338,0.949,0.0381,0,0,1,18.63,26.63,7.67,886.67,58.33,62.0,4.0,14.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,4500.0,1203633000.0,0.1,120363300.0
Argentina,ARG,2017,caprino,16873880,98703,565060189.0,6080038,0.36,0.0058,0,0,0,18.63,26.63,7.67,886.67,58.33,62.0,4.0,14.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,4200.0,414552600.0,0.1,41455260.0
Argentina,ARG,2018,bovino,28622696,4199285,5313013034.0,27114110,0.947,0.1467,0,0,0,19.53,31.2,8.57,789.67,74.67,66.67,4.33,10.86,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,4090.08,17175411592.8,0.13,2232803507.064
Argentina,ARG,2018,porcino,18113372,1705395,,19823100,1.094,0.0942,0,0,1,19.53,31.2,8.57,789.67,74.67,66.67,4.33,10.86,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,2519.86,4297356644.7,0.1,429735664.47
Argentina,ARG,2018,avicola,731357959,221608,,23399247,0.032,0.0003,0,0,1,19.53,31.2,8.57,789.67,74.67,66.67,4.33,10.86,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,1600.0,354572800.0,0.1,35457280.0
Argentina,ARG,2018,ovino,5135902,420834,358988086.0,2609283,0.508,0.0819,0,0,1,19.53,31.2,8.57,789.67,74.67,66.67,4.33,10.86,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,4500.0,1893753000.0,0.1,189375300.0
Argentina,ARG,2018,caprino,17597489,319941,518010561.0,10870079,0.618,0.0182,0,0,0,19.53,31.2,8.57,789.67,74.67,66.67,4.33,10.86,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,4200.0,1343752200.0,0.1,134375220.0
Argentina,ARG,2019,bovino,7593050,4326749,6553035977.0,9460926,1.246,0.5698,0,0,0,13.4,25.77,3.13,762.0,75.33,68.33,3.67,15.68,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,4090.08,17696749549.92,0.17,3008447423.4864
Argentina,ARG,2019,porcino,5086842,918331,,14237642,2.799,0.1805,1,0,1,13.4,25.77,3.13,762.0,75.33,68.33,3.67,15.68,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,2519.86,2314065553.6600003,0.14,323969177.5124001
Argentina,ARG,2019,avicola,388626399,1284364,,17202956,0.044,0.0033,0,0,1,13.4,25.77,3.13,762.0,75.33,68.33,3.67,15.68,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,1600.0,2054982400.0,0.14,287697536.0
Argentina,ARG,2019,ovino,12696608,291906,388028119.0,5186803,0.409,0.023,0,0,1,13.4,25.77,3.13,762.0,75.33,68.33,3.67,15.68,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,4500.0,1313577000.0,0.14,183900780.00000003
Argentina,ARG,2019,caprino,9474573,234999,256544950.0,10633115,1.122,0.0248,0,0,0,13.4,25.77,3.13,762.0,75.33,68.33,3.67,15.68,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,4200.0,986995800.0,0.14,138179412.0
Argentina,ARG,2020,bovino,31931197,3626867,3060289758.0,23251460,0.728,0.1136,0,0,0,16.07,25.8,7.73,540.67,74.33,50.67,6.0,9.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,4090.08,14834176179.36,0.14,2076784665.1104002
Argentina,ARG,2020,porcino,20544621,3238676,,14292799,0.696,0.1576,0,0,1,16.07,25.8,7.73,540.67,74.33,50.67,6.0,9.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,2519.86,8161010105.360001,0.17,1387371717.9112003
Argentina,ARG,2020,avicola,1163169233,2226345,,11149475,0.01,0.0019,0,0,1,16.07,25.8,7.73,540.67,74.33,50.67,6.0,9.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,1600.0,3562152000.0,0.14,498701280.00000006
Argentina,ARG,2020,ovino,12883839,315760,2512483.0,5694987,0.442,0.0245,0,0,1,16.07,25.8,7.73,540.67,74.33,50.67,6.0,9.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,4500.0,1420920000.0,0.14,198928800.00000003
Argentina,ARG,2020,caprino,990627,308774,474694328.0,12748609,12.869,0.3117,1,0,0,16.07,25.8,7.73,540.67,74.33,50.67,6.0,9.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0,4200.0,1296850800.0,0.14,181559112.00000003
Brasil,BRA,2011,bovino,8723233,571438,8533823798.0,26210666,3.005,0.0655,1,0,0,17.97,31.43,5.43,615.0,67.67,70.67,7.33,9.75,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0,4090.08,2337227135.04,0.07,163605899.4528
Brasil,BRA,2011,porcino,5124492,1322809,,8142533,1.589,0.2581,0,0,1,17.97,31.43,5.43,615.0,67.67,70.67,7.33,9.75,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0,2519.86,3333293486.7400002,0.13,433328153.27620006
Brasil,BRA,2011,avicola,914462196,1252778,,15083230,0.016,0.0014,0,0,1,17.97,31.43,5.43,615.0,67.67,70.67,7.33,9.75,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0,1600.0,2004444800.0,0.1,200444480.0
Brasil,BRA,2011,ovino,7496430,33884,396320298.0,2383477,0.318,0.0045,0,0,1,17.97,31.43,5.43,615.0,67.67,70.67,7.33,9.75,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0,4500.0,152478000.0,0.1,15247800.0
Brasil,BRA,2011,caprino,4990211,208726,404887142.0,557598,0.112,0.0418,0,0,0,17.97,31.43,5.43,615.0,67.67,70.67,7.33,9.75,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0,4200.0,876649200.0,0.1,87664920.0
Brasil,BRA,2012,bovino,31079507,3337336,9295097022.0,8548155,0.275,0.1074,0,0,0,15.43,25.07,6.33,864.33,62.33,25.0,4.67,16.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0,4090.08,13649971226.88,0.1,1364997122.688
Brasil,BRA,2012,porcino,3105088,2191544,,15184457,4.89,0.7058,1,0,1,15.43,25.07,6.33,864.33,62.33,25.0,4.67,16.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0,2519.86,5522384063.84,0.1,552238406.3840001
Brasil,BRA,2012,avicola,172744608,165127,,5994892,0.035,0.001,0,0,1,15.43,25.07,6.33,864.33,62.33,25.0,4.67,16.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0,1600.0,264203200.0,0.1,26420320.0
Brasil,BRA,2012,ovino,2808812,138823,43042765.0,321739,0.115,0.0494,0,0,1,15.43,25.07,6.33,864.33,62.33,25.0,4.67,16.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0,4500.0,624703500.0,0.1,62470350.0
Brasil,BRA,2012,caprino,14388965,85659,421597443.0,3242538,0.225,0.006,0,0,0,15.43,25.07,6.33,864.33,62.33,25.0,4.67,16.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0,4200.0,359767800.0,0.1,35976780.0
Brasil,BRA,2013,bovino,11386583,4897735,6110270171.0,31323122,2.751,0.4301,1,0,0,17.47,25.5,6.23,775.0,53.33,99.0,4.33,13.11,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0,4090.08,20032127968.8,0.1,2003212796.88
Brasil,BRA,2013,porcino,14532858,2647225,,11481388,0.79,0.1822,0,0,1,17.47,25.5,6.23,775.0,53.33,99.0,4.33,13.11,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0,2519.86,6670636388.5,0.13,867182730.505
Brasil,BRA,2013,avicola,136172425,482558,,3406006,0.025,0.0035,0,0,1,17.47,25.5,6.23,775.0,53.33,99.0,4.33,13.11,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0,1600.0,772092800.0,0.1,77209280.0
Brasil,BRA,2013,ovino,1180055,336686,421979784.0,3151932,2.671,0.2853,1,0,1,17.47,25.5,6.23,775.0,53.33,99.0,4.33,13.11,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0,4500.0,1515087000.0,0.1,151508700.0
Brasil,BRA,2013,caprino,449935,230929,485089078.0,7820399,17.381,0.5132,1,0,0,17.47,25.5,6.23,775.0,53.33,99.0,4.33,13.11,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0,4200.0,969901800.0,0.1,96990180.0
Brasil,BRA,2014,bovino,32721335,4882737,10293538866.0,16891881,0.516,0.1492,0,0,0,22.53,33.8,11.0,784.33,51.33,49.67,6.67,9.78,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0,4090.08,19970784948.96,0.13,2596202043.3648
Brasil,BRA,2014,porcino,6151243,1324049,,2180655,0.355,0.2152,0,0,1,22.53,33.8,11.0,784.33,51.33,49.67,6.67,9.78,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0,2519.86,3336418113.1400003,0.13,433734354.70820004
Brasil,BRA,2014,avicola,139760342,1712368,,8372537,0.06,0.0123,0,0,1,22.53,33.8,11.0,784.33,51.33,49.67,6.67,9.78,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0,1600.0,2739788800.0,0.1,273978880.0
Brasil,BRA,2014,ovino,2235617,138811,244105392.0,3687746,1.65,0.0621,0,0,1,22.53,33.8,11.0,784.33,51.33,49.67,6.67,9.78,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0,4500.0,624649500.0,0.1,62464950.0
Brasil,BRA,2014,caprino,21773456,372869,522907747.0,1614606,0.074,0.0171,0,0,0,22.53,33.8,11.0,784.33,51.33,49.67,6.67,9.78,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0,4200.0,1566049800.0,0.1,156604980.0
