pais,cultivo,anio,rendimiento_real_t_ha,rendimiento_predicho_t_ha,error_absoluto_t_ha,error_relativo_pct,error_con_signo_t_ha,calidad_prediccion
Argentina,Té,2016,2.24,2.2195,0.0205,0.91,-0.0205,Bueno (≤10%)
Argentina,Algodón,2016,4.68,3.2073,1.4727,31.47,-1.4727,Mejorable (>25%)
Argentina,Girasol,2016,3.11,2.4693,0.6407,20.6,-0.6407,Aceptable (10–25%)
Argentina,Café,2016,1.02,1.4354,0.4154,40.72,0.4154,Mejorable (>25%)
Argentina,Trigo,2016,3.44,3.9964,0.5564,16.17,0.5564,Aceptable (10–25%)
Argentina,Soja,2017,4.16,3.449,0.711,17.09,-0.711,Aceptable (10–25%)
Argentina,Maíz,2017,7.26,6.2122,1.0478,14.43,-1.0478,Aceptable (10–25%)
Argentina,Cebada,2017,4.48,4.4177,0.0623,1.39,-0.0623,Bueno (≤10%)
Argentina,Té,2017,2.42,2.0423,0.3777,15.61,-0.3777,Aceptable (10–25%)
Argentina,Algodón,2017,4.14,3.2767,0.8633,20.85,-0.8633,Aceptable (10–25%)
Argentina,Girasol,2017,1.88,2.2541,0.3741,19.9,0.3741,Aceptable (10–25%)
Argentina,Café,2017,1.73,1.7153,0.0147,0.85,-0.0147,Bueno (≤10%)
Argentina,Trigo,2017,4.28,4.697,0.417,9.74,0.417,Bueno (≤10%)
Argentina,Soja,2018,3.85,3.3245,0.5255,13.65,-0.5255,Aceptable (10–25%)
Argentina,Maíz,2018,3.78,5.4899,1.7099,45.24,1.7099,Mejorable (>25%)
Argentina,Cebada,2018,3.42,4.052,0.632,18.48,0.632,Aceptable (10–25%)
Argentina,Té,2018,2.48,2.1927,0.2873,11.58,-0.2873,Aceptable (10–25%)
Argentina,Algodón,2018,2.79,3.1299,0.3399,12.18,0.3399,Aceptable (10–25%)
Argentina,Girasol,2018,2.69,2.5058,0.1842,6.85,-0.1842,Bueno (≤10%)
Argentina,Café,2018,1.98,1.6096,0.3704,18.71,-0.3704,Aceptable (10–25%)
Argentina,Trigo,2018,3.56,4.4865,0.9265,26.03,0.9265,Mejorable (>25%)
Argentina,Soja,2019,3.14,3.1697,0.0297,0.95,0.0297,Bueno (≤10%)
Argentina,Maíz,2019,7.19,6.2419,0.9481,13.19,-0.9481,Aceptable (10–25%)
Argentina,Cebada,2019,6.66,4.5959,2.0641,30.99,-2.0641,Mejorable (>25%)
Argentina,Té,2019,1.79,2.0938,0.3038,16.97,0.3038,Aceptable (10–25%)
Argentina,Algodón,2019,4.71,3.2004,1.5096,32.05,-1.5096,Mejorable (>25%)
Argentina,Girasol,2019,1.8,2.0801,0.2801,15.56,0.2801,Aceptable (10–25%)
Argentina,Café,2019,1.23,1.6224,0.3924,31.9,0.3924,Mejorable (>25%)
Argentina,Trigo,2019,6.05,4.6537,1.3963,23.08,-1.3963,Aceptable (10–25%)
Argentina,Soja,2020,2.54,3.0421,0.5021,19.77,0.5021,Aceptable (10–25%)
Argentina,Maíz,2020,6.53,6.2508,0.2792,4.28,-0.2792,Bueno (≤10%)
Argentina,Cebada,2020,5.01,4.6631,0.3469,6.92,-0.3469,Bueno (≤10%)
Argentina,Té,2020,1.7,2.0182,0.3182,18.72,0.3182,Aceptable (10–25%)
Argentina,Algodón,2020,2.72,2.8346,0.1146,4.21,0.1146,Bueno (≤10%)
Argentina,Girasol,2020,1.48,2.0914,0.6114,41.31,0.6114,Mejorable (>25%)
Argentina,Café,2020,2.01,1.6262,0.3838,19.1,-0.3838,Aceptable (10–25%)
Argentina,Trigo,2020,7.19,5.7142,1.4758,20.53,-1.4758,Aceptable (10–25%)
Brasil,Arroz,2011,4.38,5.0713,0.6913,15.78,0.6913,Aceptable (10–25%)
Brasil,Soja,2011,3.3,3.6652,0.3652,11.07,0.3652,Aceptable (10–25%)
Brasil,Cebada,2011,4.45,4.6886,0.2386,5.36,0.2386,Bueno (≤10%)
Brasil,Té,2011,1.65,1.8053,0.1553,9.41,0.1553,Bueno (≤10%)
Brasil,Café,2011,1.11,1.2359,0.1259,11.34,0.1259,Aceptable (10–25%)
Brasil,Algodón,2011,3.76,2.8755,0.8845,23.52,-0.8845,Aceptable (10–25%)
Brasil,Caña de azúcar,2011,125.62,92.5506,33.0694,26.32,-33.0694,Mejorable (>25%)
Brasil,Girasol,2011,1.24,2.1914,0.9514,76.73,0.9514,Mejorable (>25%)
Brasil,Arroz,2012,6.75,5.8415,0.9085,13.46,-0.9085,Aceptable (10–25%)
Brasil,Soja,2012,3.11,3.6608,0.5508,17.71,0.5508,Aceptable (10–25%)
Brasil,Cebada,2012,2.92,4.0807,1.1607,39.75,1.1607,Mejorable (>25%)
Brasil,Té,2012,2.73,2.0882,0.6418,23.51,-0.6418,Aceptable (10–25%)
Brasil,Café,2012,2.19,1.7157,0.4743,21.66,-0.4743,Aceptable (10–25%)
Brasil,Algodón,2012,1.07,2.1384,1.0684,99.85,1.0684,Mejorable (>25%)
Brasil,Caña de azúcar,2012,105.94,87.8127,18.1273,17.11,-18.1273,Aceptable (10–25%)
Brasil,Girasol,2012,2.5,2.4124,0.0876,3.5,-0.0876,Bueno (≤10%)
Brasil,Arroz,2013,7.26,5.3376,1.9224,26.48,-1.9224,Mejorable (>25%)
Brasil,Soja,2013,4.59,4.0087,0.5813,12.66,-0.5813,Aceptable (10–25%)
Brasil,Cebada,2013,4.53,4.3788,0.1512,3.34,-0.1512,Bueno (≤10%)
Brasil,Té,2013,2.15,1.9747,0.1753,8.15,-0.1753,Bueno (≤10%)
Brasil,Café,2013,1.76,1.545,0.215,12.22,-0.215,Aceptable (10–25%)
Brasil,Algodón,2013,3.52,2.7792,0.7408,21.05,-0.7408,Aceptable (10–25%)
Brasil,Caña de azúcar,2013,52.04,77.7269,25.6869,49.36,25.6869,Mejorable (>25%)
Brasil,Girasol,2013,2.79,2.3247,0.4653,16.68,-0.4653,Aceptable (10–25%)
Brasil,Arroz,2014,4.07,5.3204,1.2504,30.72,1.2504,Mejorable (>25%)
Brasil,Soja,2014,2.93,3.5943,0.6643,22.67,0.6643,Aceptable (10–25%)
Brasil,Cebada,2014,3.8,4.4463,0.6463,17.01,0.6463,Aceptable (10–25%)
Brasil,Té,2014,2.02,1.908,0.112,5.55,-0.112,Bueno (≤10%)
Brasil,Café,2014,0.98,1.1966,0.2166,22.1,0.2166,Aceptable (10–25%)
Brasil,Algodón,2014,2.09,2.77,0.68,32.54,0.68,Mejorable (>25%)
Brasil,Caña de azúcar,2014,106.85,91.733,15.117,14.15,-15.117,Aceptable (10–25%)
Brasil,Girasol,2014,2.94,2.5194,0.4206,14.31,-0.4206,Aceptable (10–25%)
Brasil,Arroz,2015,4.81,5.3091,0.4991,10.38,0.4991,Aceptable (10–25%)
Brasil,Soja,2015,3.73,3.4399,0.2901,7.78,-0.2901,Bueno (≤10%)
Brasil,Cebada,2015,5.47,4.4147,1.0553,19.29,-1.0553,Aceptable (10–25%)
Brasil,Té,2015,1.19,1.7413,0.5513,46.33,0.5513,Mejorable (>25%)
Brasil,Café,2015,2.13,1.5367,0.5933,27.85,-0.5933,Mejorable (>25%)
Brasil,Algodón,2015,1.71,2.3744,0.6644,38.85,0.6644,Mejorable (>25%)
Brasil,Caña de azúcar,2015,104.64,91.724,12.916,12.34,-12.916,Aceptable (10–25%)
Brasil,Girasol,2015,2.06,2.1244,0.0644,3.12,0.0644,Bueno (≤10%)
Brasil,Arroz,2016,5.9,5.5181,0.3819,6.47,-0.3819,Bueno (≤10%)
Brasil,Soja,2016,4.4,3.9222,0.4778,10.86,-0.4778,Aceptable (10–25%)
Brasil,Cebada,2016,6.24,5.2012,1.0388,16.65,-1.0388,Aceptable (10–25%)
Brasil,Té,2016,2.2,1.9794,0.2206,10.03,-0.2206,Aceptable (10–25%)
Brasil,Café,2016,1.69,1.4817,0.2083,12.32,-0.2083,Aceptable (10–25%)
Brasil,Algodón,2016,3.24,2.722,0.518,15.99,-0.518,Aceptable (10–25%)
Brasil,Caña de azúcar,2016,118.44,92.4218,26.0182,21.97,-26.0182,Aceptable (10–25%)
Brasil,Girasol,2016,1.66,2.0325,0.3725,22.44,0.3725,Aceptable (10–25%)
Brasil,Arroz,2017,7.16,5.8238,1.3362,18.66,-1.3362,Aceptable (10–25%)
Brasil,Soja,2017,3.06,3.5216,0.4616,15.09,0.4616,Aceptable (10–25%)
Brasil,Cebada,2017,6.34,5.481,0.859,13.55,-0.859,Aceptable (10–25%)
Brasil,Té,2017,1.77,1.9069,0.1369,7.73,0.1369,Bueno (≤10%)
Brasil,Café,2017,1.94,1.5776,0.3624,18.68,-0.3624,Aceptable (10–25%)
Brasil,Algodón,2017,3.34,2.9984,0.3416,10.23,-0.3416,Aceptable (10–25%)
Brasil,Caña de azúcar,2017,60.54,83.7657,23.2257,38.36,23.2257,Mejorable (>25%)
Brasil,Girasol,2017,2.3,2.4364,0.1364,5.93,0.1364,Bueno (≤10%)
Brasil,Arroz,2018,3.82,4.5789,0.7589,19.87,0.7589,Aceptable (10–25%)
Brasil,Soja,2018,3.92,3.8685,0.0515,1.31,-0.0515,Bueno (≤10%)
Brasil,Cebada,2018,5.63,4.988,0.642,11.4,-0.642,Aceptable (10–25%)
Brasil,Té,2018,2.5,1.9472,0.5528,22.11,-0.5528,Aceptable (10–25%)
Brasil,Café,2018,1.11,1.4001,0.2901,26.13,0.2901,Mejorable (>25%)
Brasil,Algodón,2018,2.59,2.7883,0.1983,7.66,0.1983,Bueno (≤10%)
Brasil,Caña de azúcar,2018,71.46,85.3476,13.8876,19.43,13.8876,Aceptable (10–25%)
Brasil,Girasol,2018,2.33,2.408,0.078,3.35,0.078,Bueno (≤10%)
Brasil,Arroz,2019,6.23,5.2597,0.9703,15.57,-0.9703,Aceptable (10–25%)
Brasil,Soja,2019,3.53,3.5117,0.0183,0.52,-0.0183,Bueno (≤10%)
Brasil,Cebada,2019,5.15,4.4133,0.7367,14.31,-0.7367,Aceptable (10–25%)
Brasil,Té,2019,1.43,1.6992,0.2692,18.83,0.2692,Aceptable (10–25%)
Brasil,Café,2019,1.13,1.4521,0.3221,28.5,0.3221,Mejorable (>25%)
Brasil,Algodón,2019,4.12,3.0573,1.0627,25.79,-1.0627,Mejorable (>25%)
Brasil,Caña de azúcar,2019,114.04,95.345,18.695,16.39,-18.695,Aceptable (10–25%)
Brasil,Girasol,2019,4.02,2.5994,1.4206,35.34,-1.4206,Mejorable (>25%)
Brasil,Arroz,2020,4.89,5.334,0.444,9.08,0.444,Bueno (≤10%)
Brasil,Soja,2020,5.35,3.8405,1.5095,28.22,-1.5095,Mejorable (>25%)
Brasil,Cebada,2020,3.18,4.1377,0.9577,30.11,0.9577,Mejorable (>25%)
Brasil,Té,2020,1.83,1.6701,0.1599,8.74,-0.1599,Bueno (≤10%)
Brasil,Café,2020,1.21,1.3848,0.1748,14.45,0.1748,Aceptable (10–25%)
Brasil,Algodón,2020,3.39,2.8779,0.5121,15.11,-0.5121,Aceptable (10–25%)
Brasil,Caña de azúcar,2020,85.17,94.4098,9.2398,10.85,9.2398,Aceptable (10–25%)
Brasil,Girasol,2020,2.28,2.2466,0.0334,1.46,-0.0334,Bueno (≤10%)
Estados Unidos,Cebada,2011,3.45,4.0144,0.5644,16.36,0.5644,Aceptable (10–25%)
Estados Unidos,Arroz,2011,4.16,5.0347,0.8747,21.03,0.8747,Aceptable (10–25%)
Estados Unidos,Trigo,2011,4.59,4.4754,0.1146,2.5,-0.1146,Bueno (≤10%)
Estados Unidos,Algodón,2011,3.92,2.7732,1.1468,29.26,-1.1468,Mejorable (>25%)
Estados Unidos,Caña de azúcar,2011,72.26,81.1705,8.9105,12.33,8.9105,Aceptable (10–25%)
Estados Unidos,Girasol,2011,1.76,2.0061,0.2461,13.98,0.2461,Aceptable (10–25%)
Estados Unidos,Té,2011,1.15,1.5758,0.4258,37.02,0.4258,Mejorable (>25%)
Estados Unidos,Maíz,2011,10.04,7.2233,2.8167,28.05,-2.8167,Mejorable (>25%)
Estados Unidos,Cebada,2012,5.5,4.5037,0.9963,18.12,-0.9963,Aceptable (10–25%)
Estados Unidos,Arroz,2012,6.77,5.5177,1.2523,18.5,-1.2523,Aceptable (10–25%)
Estados Unidos,Trigo,2012,2.32,3.8542,1.5342,66.13,1.5342,Mejorable (>25%)
Estados Unidos,Algodón,2012,3.47,2.8523,0.6177,17.8,-0.6177,Aceptable (10–25%)
Estados Unidos,Caña de azúcar,2012,70.29,83.1943,12.9043,18.36,12.9043,Aceptable (10–25%)
Estados Unidos,Girasol,2012,3.02,2.4907,0.5293,17.53,-0.5293,Aceptable (10–25%)
Estados Unidos,Té,2012,1.7,1.7386,0.0386,2.27,0.0386,Bueno (≤10%)
Estados Unidos,Maíz,2012,7.85,7.2373,0.6127,7.81,-0.6127,Bueno (≤10%)
Estados Unidos,Cebada,2013,5.48,4.1899,1.2901,23.54,-1.2901,Aceptable (10–25%)
Estados Unidos,Arroz,2013,6.0,5.3741,0.6259,10.43,-0.6259,Aceptable (10–25%)
Estados Unidos,Trigo,2013,8.07,5.0831,2.9869,37.01,-2.9869,Mejorable (>25%)
Estados Unidos,Algodón,2013,1.78,2.3613,0.5813,32.66,0.5813,Mejorable (>25%)
Estados Unidos,Caña de azúcar,2013,97.1,82.3491,14.7509,15.19,-14.7509,Aceptable (10–25%)
Estados Unidos,Girasol,2013,1.59,2.0725,0.4825,30.35,0.4825,Mejorable (>25%)
Estados Unidos,Té,2013,1.92,1.7556,0.1644,8.56,-0.1644,Bueno (≤10%)
Estados Unidos,Maíz,2013,4.73,6.6571,1.9271,40.74,1.9271,Mejorable (>25%)
Estados Unidos,Cebada,2014,6.86,4.7106,2.1494,31.33,-2.1494,Mejorable (>25%)
Estados Unidos,Arroz,2014,6.44,5.801,0.639,9.92,-0.639,Bueno (≤10%)
Estados Unidos,Trigo,2014,8.29,5.6134,2.6766,32.29,-2.6766,Mejorable (>25%)
Estados Unidos,Algodón,2014,3.13,2.6779,0.4521,14.44,-0.4521,Aceptable (10–25%)
Estados Unidos,Caña de azúcar,2014,78.3,76.316,1.984,2.53,-1.984,Bueno (≤10%)
Estados Unidos,Girasol,2014,3.66,2.383,1.277,34.89,-1.277,Mejorable (>25%)
Estados Unidos,Té,2014,2.57,1.8592,0.7108,27.66,-0.7108,Mejorable (>25%)
Estados Unidos,Maíz,2014,7.53,6.8009,0.7291,9.68,-0.7291,Bueno (≤10%)
Estados Unidos,Cebada,2015,4.38,4.2497,0.1303,2.98,-0.1303,Bueno (≤10%)
Estados Unidos,Arroz,2015,5.84,5.4468,0.3932,6.73,-0.3932,Bueno (≤10%)
Estados Unidos,Trigo,2015,5.51,4.5583,0.9517,17.27,-0.9517,Aceptable (10–25%)
Estados Unidos,Algodón,2015,2.23,2.6111,0.3811,17.09,0.3811,Aceptable (10–25%)
Estados Unidos,Caña de azúcar,2015,91.6,87.5543,4.0457,4.42,-4.0457,Bueno (≤10%)
Estados Unidos,Girasol,2015,2.95,2.4766,0.4734,16.05,-0.4734,Aceptable (10–25%)
Estados Unidos,Té,2015,2.47,1.8336,0.6364,25.77,-0.6364,Mejorable (>25%)
Estados Unidos,Maíz,2015,11.0,7.7396,3.2604,29.64,-3.2604,Mejorable (>25%)
Estados Unidos,Cebada,2016,3.46,4.0532,0.5932,17.14,0.5932,Aceptable (10–25%)
Estados Unidos,Arroz,2016,8.18,6.4105,1.7695,21.63,-1.7695,Aceptable (10–25%)
Estados Unidos,Trigo,2016,4.37,4.3985,0.0285,0.65,0.0285,Bueno (≤10%)
Estados Unidos,Algodón,2016,2.14,2.834,0.694,32.43,0.694,Mejorable (>25%)
Estados Unidos,Caña de azúcar,2016,67.34,82.8004,15.4604,22.96,15.4604,Aceptable (10–25%)
Estados Unidos,Girasol,2016,1.67,2.2792,0.6092,36.48,0.6092,Mejorable (>25%)
Estados Unidos,Té,2016,0.96,1.5077,0.5477,57.06,0.5477,Mejorable (>25%)
Estados Unidos,Maíz,2016,8.79,6.8984,1.8916,21.52,-1.8916,Aceptable (10–25%)
Estados Unidos,Cebada,2017,3.74,4.0113,0.2713,7.25,0.2713,Bueno (≤10%)
Estados Unidos,Arroz,2017,5.13,5.5857,0.4557,8.88,0.4557,Bueno (≤10%)
Estados Unidos,Trigo,2017,3.08,3.9701,0.8901,28.9,0.8901,Mejorable (>25%)
Estados Unidos,Algodón,2017,3.3,3.1806,0.1194,3.62,-0.1194,Bueno (≤10%)
Estados Unidos,Caña de azúcar,2017,95.73,81.2406,14.4894,15.14,-14.4894,Aceptable (10–25%)
Estados Unidos,Girasol,2017,2.7,2.5059,0.1941,7.19,-0.1941,Bueno (≤10%)
Estados Unidos,Té,2017,1.94,1.7992,0.1408,7.26,-0.1408,Bueno (≤10%)
Estados Unidos,Maíz,2017,7.74,7.4631,0.2769,3.58,-0.2769,Bueno (≤10%)
Estados Unidos,Cebada,2018,4.48,4.1991,0.2809,6.27,-0.2809,Bueno (≤10%)
Estados Unidos,Arroz,2018,4.44,5.2542,0.8142,18.34,0.8142,Aceptable (10–25%)
Estados Unidos,Trigo,2018,3.5,4.1917,0.6917,19.76,0.6917,Aceptable (10–25%)
Estados Unidos,Algodón,2018,1.59,2.4716,0.8816,55.45,0.8816,Mejorable (>25%)
Estados Unidos,Caña de azúcar,2018,82.73,77.2134,5.5166,6.67,-5.5166,Bueno (≤10%)
Estados Unidos,Girasol,2018,2.46,2.1881,0.2719,11.05,-0.2719,Aceptable (10–25%)
Estados Unidos,Té,2018,1.15,1.666,0.516,44.87,0.516,Mejorable (>25%)
Estados Unidos,Maíz,2018,6.04,6.3884,0.3484,5.77,0.3484,Bueno (≤10%)
Estados Unidos,Cebada,2019,3.34,3.763,0.423,12.67,0.423,Aceptable (10–25%)
Estados Unidos,Arroz,2019,4.81,5.2433,0.4333,9.01,0.4333,Bueno (≤10%)
Estados Unidos,Trigo,2019,3.11,3.9925,0.8825,28.38,0.8825,Mejorable (>25%)
Estados Unidos,Algodón,2019,4.38,3.0128,1.3672,31.21,-1.3672,Mejorable (>25%)
Estados Unidos,Caña de azúcar,2019,54.67,74.5355,19.8655,36.34,19.8655,Mejorable (>25%)
Estados Unidos,Girasol,2019,1.33,2.0461,0.7161,53.84,0.7161,Mejorable (>25%)
Estados Unidos,Té,2019,1.97,1.6465,0.3235,16.42,-0.3235,Aceptable (10–25%)
Estados Unidos,Maíz,2019,5.84,6.7458,0.9058,15.51,0.9058,Aceptable (10–25%)
Estados Unidos,Cebada,2020,2.76,3.8251,1.0651,38.59,1.0651,Mejorable (>25%)
Estados Unidos,Arroz,2020,6.1,5.687,0.413,6.77,-0.413,Bueno (≤10%)
Estados Unidos,Trigo,2020,5.29,4.9756,0.3144,5.94,-0.3144,Bueno (≤10%)
Estados Unidos,Algodón,2020,3.29,2.8324,0.4576,13.91,-0.4576,Aceptable (10–25%)
Estados Unidos,Caña de azúcar,2020,105.62,84.7556,20.8644,19.75,-20.8644,Aceptable (10–25%)
Estados Unidos,Girasol,2020,1.65,2.0755,0.4255,25.79,0.4255,Mejorable (>25%)
Estados Unidos,Té,2020,1.36,1.7072,0.3472,25.53,0.3472,Mejorable (>25%)
Estados Unidos,Maíz,2020,8.15,7.086,1.064,13.06,-1.064,Aceptable (10–25%)
India,Girasol,2011,2.2,2.0531,0.1469,6.68,-0.1469,Bueno (≤10%)
India,Trigo,2011,7.58,6.4785,1.1015,14.53,-1.1015,Aceptable (10–25%)
India,Caña de azúcar,2011,80.57,86.7273,6.1573,7.64,6.1573,Bueno (≤10%)
India,Cebada,2011,2.8,3.67,0.87,31.07,0.87,Mejorable (>25%)
India,Café,2011,1.3,1.3045,0.0045,0.35,0.0045,Bueno (≤10%)
India,Algodón,2011,1.58,2.0451,0.4651,29.44,0.4651,Mejorable (>25%)
India,Té,2011,1.13,1.5072,0.3772,33.38,0.3772,Mejorable (>25%)
India,Arroz,2011,5.44,5.6444,0.2044,3.76,0.2044,Bueno (≤10%)
India,Girasol,2012,2.68,2.4056,0.2744,10.24,-0.2744,Aceptable (10–25%)
India,Trigo,2012,6.82,5.9711,0.8489,12.45,-0.8489,Aceptable (10–25%)
India,Caña de azúcar,2012,92.35,90.2304,2.1196,2.3,-2.1196,Bueno (≤10%)
India,Cebada,2012,4.46,4.3256,0.1344,3.01,-0.1344,Bueno (≤10%)
India,Café,2012,0.75,1.1253,0.3753,50.04,0.3753,Mejorable (>25%)
India,Algodón,2012,2.74,2.6109,0.1291,4.71,-0.1291,Bueno (≤10%)
India,Té,2012,1.73,1.7957,0.0657,3.8,0.0657,Bueno (≤10%)
India,Arroz,2012,5.89,5.5469,0.3431,5.83,-0.3431,Bueno (≤10%)
India,Girasol,2013,1.3,2.0297,0.7297,56.13,0.7297,Mejorable (>25%)
India,Trigo,2013,7.34,6.3116,1.0284,14.01,-1.0284,Aceptable (10–25%)
India,Caña de azúcar,2013,100.41,82.2303,18.1797,18.11,-18.1797,Aceptable (10–25%)
India,Cebada,2013,3.96,4.1268,0.1668,4.21,0.1668,Bueno (≤10%)
India,Café,2013,0.58,1.1569,0.5769,99.47,0.5769,Mejorable (>25%)
India,Algodón,2013,1.77,2.0599,0.2899,16.38,0.2899,Aceptable (10–25%)
India,Té,2013,1.89,1.7263,0.1637,8.66,-0.1637,Bueno (≤10%)
India,Arroz,2013,6.28,5.8277,0.4523,7.2,-0.4523,Bueno (≤10%)
India,Girasol,2014,2.38,2.2009,0.1791,7.52,-0.1791,Bueno (≤10%)
India,Trigo,2014,8.2,6.3128,1.8872,23.02,-1.8872,Aceptable (10–25%)
India,Caña de azúcar,2014,92.87,88.0153,4.8547,5.23,-4.8547,Bueno (≤10%)
India,Cebada,2014,5.08,4.104,0.976,19.21,-0.976,Aceptable (10–25%)
India,Café,2014,1.52,1.2931,0.2269,14.93,-0.2269,Aceptable (10–25%)
India,Algodón,2014,1.94,2.3987,0.4587,23.65,0.4587,Aceptable (10–25%)
India,Té,2014,1.26,1.5656,0.3056,24.26,0.3056,Aceptable (10–25%)
India,Arroz,2014,4.63,5.2818,0.6518,14.08,0.6518,Aceptable (10–25%)
India,Girasol,2015,2.34,2.2593,0.0807,3.45,-0.0807,Bueno (≤10%)
India,Trigo,2015,2.66,4.6523,1.9923,74.9,1.9923,Mejorable (>25%)
India,Caña de azúcar,2015,61.44,82.3317,20.8917,34.0,20.8917,Mejorable (>25%)
India,Cebada,2015,3.14,3.8723,0.7323,23.32,0.7323,Aceptable (10–25%)
India,Café,2015,1.14,1.2244,0.0844,7.41,0.0844,Bueno (≤10%)
India,Algodón,2015,1.63,2.1354,0.5054,31.01,0.5054,Mejorable (>25%)
India,Té,2015,1.69,1.6338,0.0562,3.33,-0.0562,Bueno (≤10%)
India,Arroz,2015,6.25,5.673,0.577,9.23,-0.577,Bueno (≤10%)
India,Girasol,2016,3.33,2.7888,0.5412,16.25,-0.5412,Aceptable (10–25%)
India,Trigo,2016,8.28,6.12,2.16,26.09,-2.16,Mejorable (>25%)
India,Caña de azúcar,2016,93.11,90.3638,2.7462,2.95,-2.7462,Bueno (≤10%)
India,Cebada,2016,3.74,4.0347,0.2947,7.88,0.2947,Bueno (≤10%)
India,Café,2016,1.44,1.2688,0.1712,11.89,-0.1712,Aceptable (10–25%)
India,Algodón,2016,2.97,2.7706,0.1994,6.71,-0.1994,Bueno (≤10%)
India,Té,2016,2.01,1.8175,0.1925,9.58,-0.1925,Bueno (≤10%)
India,Arroz,2016,8.31,5.8109,2.4991,30.07,-2.4991,Mejorable (>25%)
India,Girasol,2017,2.43,2.1826,0.2474,10.18,-0.2474,Aceptable (10–25%)
