pais,codigo_iso,anio,tipo_ganado,cabezas_ganado,produccion_carne_ton,emisiones_ch4_ton_co2eq,intensidad_emisiones,eficiencia_carne,flag_emision_extrema,anomalia_predicha_if,anomaly_score_if,anomalia_predicha_svm,anomaly_score_svm,consensus_anomalia,estado_emision,resultado_validacion
Argentina,ARG,2016,avicola,27911119,599881,15985408,0.573,0.0215,0,0,0.42999209697657326,0,-7.781550416383786,0,Normal,Verdadero Negativo
Argentina,ARG,2016,ovino,15460730,452712,5051423,0.327,0.0293,0,0,0.3926319769558596,0,-8.533712864826644,0,Normal,Verdadero Negativo
Argentina,ARG,2016,caprino,14122975,397826,2164134,0.153,0.0282,0,0,0.40591349468556087,0,-8.466872865216349,0,Normal,Verdadero Negativo
Argentina,ARG,2017,bovino,7566960,1743540,22525297,2.977,0.2304,1,0,0.4276428876970208,0,-7.418351836976853,0,Normal,Falso Negativo
Argentina,ARG,2017,porcino,15880125,809620,8889107,0.56,0.051,0,0,0.37777601766843444,0,-7.314831200021239,0,Normal,Verdadero Negativo
Argentina,ARG,2017,avicola,1153883502,324265,2864531,0.002,0.0003,0,0,0.4316628212314737,0,-6.08604979795779,0,Normal,Verdadero Negativo
Argentina,ARG,2017,ovino,7015033,267474,6657338,0.949,0.0381,0,0,0.3752948341221984,0,-8.159810024898325,0,Normal,Verdadero Negativo
Argentina,ARG,2017,caprino,16873880,98703,6080038,0.36,0.0058,0,0,0.3769843975428558,0,-8.012548528189637,0,Normal,Verdadero Negativo
Argentina,ARG,2018,bovino,28622696,4199285,27114110,0.947,0.1467,0,0,0.43909915682955314,0,-6.500867278968692,0,Normal,Verdadero Negativo
Argentina,ARG,2018,porcino,18113372,1705395,19823100,1.094,0.0942,0,0,0.44164589823974526,0,-6.232768930176804,0,Normal,Verdadero Negativo
Argentina,ARG,2018,avicola,731357959,221608,23399247,0.032,0.0003,0,0,0.4654613978778465,0,-6.2158819935809415,0,Normal,Verdadero Negativo
Argentina,ARG,2018,ovino,5135902,420834,2609283,0.508,0.0819,0,0,0.4301131386246684,0,-7.397890156256462,0,Normal,Verdadero Negativo
Argentina,ARG,2018,caprino,17597489,319941,10870079,0.618,0.0182,0,0,0.40548809867117463,0,-8.005835273664387,0,Normal,Verdadero Negativo
Argentina,ARG,2019,bovino,7593050,4326749,9460926,1.246,0.5698,0,0,0.49076327161598476,0,-5.488640144297586,0,Normal,Verdadero Negativo
Argentina,ARG,2019,porcino,5086842,918331,14237642,2.799,0.1805,1,0,0.4721092110397333,0,-6.372265218334631,0,Normal,Falso Negativo
Argentina,ARG,2019,avicola,388626399,1284364,17202956,0.044,0.0033,0,0,0.45760791145680196,0,-6.371777437088768,0,Normal,Verdadero Negativo
Argentina,ARG,2019,ovino,12696608,291906,5186803,0.409,0.023,0,0,0.40873293064049393,0,-7.190731997934867,0,Normal,Verdadero Negativo
Argentina,ARG,2019,caprino,9474573,234999,10633115,1.122,0.0248,0,0,0.41443432854481277,0,-7.224041825871335,0,Normal,Verdadero Negativo
Argentina,ARG,2020,bovino,31931197,3626867,23251460,0.728,0.1136,0,0,0.4384517010292554,0,-6.001331562523094,0,Normal,Verdadero Negativo
Argentina,ARG,2020,porcino,20544621,3238676,14292799,0.696,0.1576,0,0,0.44344412060973243,0,-5.386713423333434,0,Normal,Verdadero Negativo
Argentina,ARG,2020,avicola,1163169233,2226345,11149475,0.01,0.0019,0,0,0.4650982204556306,0,-5.381678711884546,0,Normal,Verdadero Negativo
Argentina,ARG,2020,ovino,12883839,315760,5694987,0.442,0.0245,0,0,0.4069907913943237,0,-6.6574647650957175,0,Normal,Verdadero Negativo
Argentina,ARG,2020,caprino,990627,308774,12748609,12.869,0.3117,1,1,0.5847997614976096,1,-4.267218827531033,1,Anomalía detectada,Verdadero Positivo
Brasil,BRA,2011,bovino,8723233,571438,26210666,3.005,0.0655,1,0,0.46527326171354744,0,-6.633730255992921,0,Normal,Falso Negativo
Brasil,BRA,2011,porcino,5124492,1322809,8142533,1.589,0.2581,0,0,0.44951218644666485,0,-6.67861993642061,0,Normal,Verdadero Negativo
Brasil,BRA,2011,avicola,914462196,1252778,15083230,0.016,0.0014,0,0,0.4547304244110717,0,-5.953672559425155,0,Normal,Verdadero Negativo
Brasil,BRA,2011,ovino,7496430,33884,2383477,0.318,0.0045,0,0,0.47261322951263846,0,-5.8409641434676365,0,Normal,Verdadero Negativo
Brasil,BRA,2011,caprino,4990211,208726,557598,0.112,0.0418,0,0,0.4647165587657437,0,-5.506258275426513,0,Normal,Verdadero Negativo
Brasil,BRA,2012,bovino,31079507,3337336,8548155,0.275,0.1074,0,0,0.3974563614387951,0,-7.778428349053082,0,Normal,Verdadero Negativo
Brasil,BRA,2012,porcino,3105088,2191544,15184457,4.89,0.7058,1,0,0.4999739873566332,0,-6.176721015505367,0,Normal,Falso Negativo
Brasil,BRA,2012,avicola,172744608,165127,5994892,0.035,0.001,0,0,0.42497564637782165,0,-7.072291337239903,0,Normal,Verdadero Negativo
Brasil,BRA,2012,ovino,2808812,138823,321739,0.115,0.0494,0,0,0.44994567394061447,0,-5.494289689496311,0,Normal,Verdadero Negativo
Brasil,BRA,2012,caprino,14388965,85659,3242538,0.225,0.006,0,0,0.3933653901703867,0,-7.699964505648004,0,Normal,Verdadero Negativo
Brasil,BRA,2013,bovino,11386583,4897735,31323122,2.751,0.4301,1,1,0.5152347052136018,0,-4.76383868669725,0,Anomalía detectada,Verdadero Positivo
Brasil,BRA,2013,porcino,14532858,2647225,11481388,0.79,0.1822,0,0,0.45699731205682653,0,-5.274598128436653,0,Normal,Verdadero Negativo
Brasil,BRA,2013,avicola,136172425,482558,3406006,0.025,0.0035,0,0,0.4816410355139971,0,-5.336760816246002,0,Normal,Verdadero Negativo
Brasil,BRA,2013,ovino,1180055,336686,3151932,2.671,0.2853,1,1,0.5096818429664283,0,-5.352795033331503,0,Anomalía detectada,Verdadero Positivo
Brasil,BRA,2013,caprino,449935,230929,7820399,17.381,0.5132,1,1,0.6486509573625041,1,-2.6138690311480053,1,Anomalía detectada,Verdadero Positivo
Brasil,BRA,2014,bovino,32721335,4882737,16891881,0.516,0.1492,0,0,0.44469968330804516,0,-6.0139395789729155,0,Normal,Verdadero Negativo
Brasil,BRA,2014,porcino,6151243,1324049,2180655,0.355,0.2152,0,0,0.46884038822722107,0,-6.003408175343037,0,Normal,Verdadero Negativo
Brasil,BRA,2014,avicola,139760342,1712368,8372537,0.06,0.0123,0,0,0.452287208462855,0,-6.191256170076991,0,Normal,Verdadero Negativo
Brasil,BRA,2014,ovino,2235617,138811,3687746,1.65,0.0621,0,0,0.4689986221979843,0,-6.448489514543845,0,Normal,Verdadero Negativo
Brasil,BRA,2014,caprino,21773456,372869,1614606,0.074,0.0171,0,0,0.4397971670526123,0,-6.762608616584045,0,Normal,Verdadero Negativo
Brasil,BRA,2015,bovino,33814403,4227144,45949342,1.359,0.125,0,0,0.4320730963628988,0,-6.319719475645713,0,Normal,Verdadero Negativo
Brasil,BRA,2015,porcino,15850522,945458,1693290,0.107,0.0596,0,0,0.4114359411983178,0,-6.858733728561182,0,Normal,Verdadero Negativo
Brasil,BRA,2015,avicola,691496728,984198,7492516,0.011,0.0014,0,0,0.42030518726197624,0,-6.891865662070647,0,Normal,Verdadero Negativo
Brasil,BRA,2015,ovino,3244008,41810,5229989,1.612,0.0129,0,0,0.4395857839681118,0,-6.480292754460833,0,Normal,Verdadero Negativo
Brasil,BRA,2015,caprino,8807301,83576,1745102,0.198,0.0095,0,0,0.4123184333902201,0,-7.241561416298945,0,Normal,Verdadero Negativo
Brasil,BRA,2016,bovino,39643753,137142,36701662,0.926,0.0035,0,0,0.42181817389868276,0,-6.591218912998408,0,Normal,Verdadero Negativo
Brasil,BRA,2016,porcino,1456978,1017867,4607703,3.163,0.6986,1,0,0.49788983944562015,0,-6.423892676235711,0,Normal,Falso Negativo
Brasil,BRA,2016,avicola,688339581,1441941,2812946,0.004,0.0021,0,0,0.4496873507388551,0,-6.0698247875471365,0,Normal,Verdadero Negativo
Brasil,BRA,2016,ovino,15010858,26685,4957366,0.33,0.0018,0,0,0.4271109098869472,0,-6.332865639631003,0,Normal,Verdadero Negativo
Brasil,BRA,2016,caprino,13715218,12449,6377008,0.465,0.0009,0,0,0.44149219137222706,0,-5.57028055936871,0,Normal,Verdadero Negativo
Brasil,BRA,2017,bovino,31502213,1535338,42172020,1.339,0.0487,0,0,0.4339240035325583,0,-6.030357570789816,0,Normal,Verdadero Negativo
Brasil,BRA,2017,porcino,15738893,2457736,2438167,0.155,0.1562,0,0,0.4289912882492519,0,-5.548222179037576,0,Normal,Verdadero Negativo
Brasil,BRA,2017,avicola,964365302,480280,2077246,0.002,0.0005,0,0,0.4626990971739699,0,-5.039528898818449,0,Normal,Verdadero Negativo
Brasil,BRA,2017,ovino,12899350,255611,729177,0.057,0.0198,0,0,0.43451980546417235,0,-5.656959349485151,0,Normal,Verdadero Negativo
Brasil,BRA,2017,caprino,6846842,483714,1895139,0.277,0.0706,0,0,0.421058223457634,0,-6.652433357408004,0,Normal,Verdadero Negativo
Brasil,BRA,2018,bovino,8901456,2442841,57292829,6.436,0.2744,1,1,0.524236431332292,0,-4.763597329078214,0,Anomalía detectada,Verdadero Positivo
Brasil,BRA,2018,porcino,8686807,3242847,13480935,1.552,0.3733,0,0,0.45667177766259726,0,-6.207497196842121,0,Normal,Verdadero Negativo
Brasil,BRA,2018,avicola,931773863,2086755,26415623,0.028,0.0022,0,0,0.46073623023587784,0,-5.478962514281829,0,Normal,Verdadero Negativo
Brasil,BRA,2018,ovino,11853987,246854,2370726,0.2,0.0208,0,0,0.41189938622909233,0,-7.166007085545671,0,Normal,Verdadero Negativo
Brasil,BRA,2018,caprino,10566972,288870,6379526,0.604,0.0273,0,0,0.3967156485094676,0,-7.777183698261465,0,Normal,Verdadero Negativo
Brasil,BRA,2019,bovino,59649839,4033088,51257682,0.859,0.0676,0,0,0.4303979791877962,0,-5.949661281141426,0,Normal,Verdadero Negativo
Brasil,BRA,2019,porcino,8679562,3830924,17057750,1.965,0.4414,0,0,0.45689450521399516,0,-6.342266511565042,0,Normal,Verdadero Negativo
Brasil,BRA,2019,avicola,96442915,1632789,1371315,0.014,0.0169,0,0,0.454199540795388,0,-6.13704027760498,0,Normal,Verdadero Negativo
Brasil,BRA,2019,ovino,11924953,333479,1785262,0.15,0.028,0,0,0.393380998361699,0,-7.680749395937876,0,Normal,Verdadero Negativo
Brasil,BRA,2019,caprino,14153260,156664,4676965,0.33,0.0111,0,0,0.3823000469687275,0,-8.008210592007847,0,Normal,Verdadero Negativo
Brasil,BRA,2020,bovino,17017684,4199875,6006601,0.353,0.2468,0,0,0.4276230203573492,0,-7.4168890298445636,0,Normal,Verdadero Negativo
Brasil,BRA,2020,porcino,25626499,1897744,13551938,0.529,0.0741,0,0,0.409775360830931,0,-6.835905418009591,0,Normal,Verdadero Negativo
Brasil,BRA,2020,avicola,1055554399,2494051,20370183,0.019,0.0024,0,0,0.44361224374146696,0,-6.081124203106871,0,Normal,Verdadero Negativo
Brasil,BRA,2020,ovino,5482630,572988,11099383,2.024,0.1045,0,0,0.42001390772981434,0,-8.2179682499439,0,Normal,Verdadero Negativo
Brasil,BRA,2020,caprino,13345247,496236,7439367,0.557,0.0372,0,0,0.384829991727292,0,-8.786633005319306,0,Normal,Verdadero Negativo
Estados Unidos,USA,2011,bovino,44253016,1176302,36777085,0.831,0.0266,0,0,0.4672857919899931,0,-5.476847722040722,0,Normal,Verdadero Negativo
Estados Unidos,USA,2011,porcino,11330159,1713615,1953491,0.172,0.1512,0,0,0.4887848205181092,0,-5.106407366090628,0,Normal,Verdadero Negativo
Estados Unidos,USA,2011,avicola,566793685,1087148,10225715,0.018,0.0019,0,0,0.4761971448923463,0,-5.078137245357105,0,Normal,Verdadero Negativo
Estados Unidos,USA,2011,ovino,1529188,340910,1090983,0.713,0.2229,0,1,0.521668393320521,0,-4.914418205957284,0,Anomalía detectada,Falso Positivo
Estados Unidos,USA,2011,caprino,8103989,364637,9323782,1.151,0.045,0,0,0.4447385192710434,0,-6.2626478750640135,0,Normal,Verdadero Negativo
Estados Unidos,USA,2012,bovino,8195189,2527955,39887728,4.867,0.3085,1,0,0.502367897384979,0,-6.047021684675951,0,Normal,Falso Negativo
Estados Unidos,USA,2012,porcino,3196686,1122611,7602972,2.378,0.3512,0,0,0.4582594219165798,0,-7.3844707057514265,0,Normal,Verdadero Negativo
Estados Unidos,USA,2012,avicola,737757104,303605,13030978,0.018,0.0004,0,0,0.4403951104445617,0,-6.627212006935951,0,Normal,Verdadero Negativo
Estados Unidos,USA,2012,ovino,17563100,465206,7704857,0.439,0.0265,0,0,0.3873810147803216,0,-8.227531541619289,0,Normal,Verdadero Negativo
Estados Unidos,USA,2012,caprino,6517914,415359,7223955,1.108,0.0637,0,0,0.4031309853583813,0,-8.446664737609042,0,Normal,Verdadero Negativo
Estados Unidos,USA,2013,bovino,14558278,3459065,22559162,1.55,0.2376,0,0,0.442534978784925,0,-7.119889346612367,0,Normal,Verdadero Negativo
Estados Unidos,USA,2013,porcino,18478119,1089804,13495418,0.73,0.059,0,0,0.41148198346431525,0,-6.987014163560392,0,Normal,Verdadero Negativo
Estados Unidos,USA,2013,avicola,117437301,648875,15423146,0.131,0.0055,0,0,0.43404687685571686,0,-7.354168238497879,0,Normal,Verdadero Negativo
Estados Unidos,USA,2013,ovino,5314088,253222,3708148,0.698,0.0477,0,0,0.4083224968913944,0,-7.825397586103063,0,Normal,Verdadero Negativo
Estados Unidos,USA,2013,caprino,1050201,305357,6180954,5.885,0.2908,1,1,0.5085534309806693,0,-5.941672877072557,0,Anomalía detectada,Verdadero Positivo
Estados Unidos,USA,2014,bovino,23660505,3426476,14352552,0.607,0.1448,0,0,0.41306453220644634,0,-6.321422542744338,0,Normal,Verdadero Negativo
Estados Unidos,USA,2014,porcino,1264198,2954363,7561739,5.981,1.0,1,1,0.5617484983500389,0,-4.801016673598357,0,Anomalía detectada,Verdadero Positivo
Estados Unidos,USA,2014,avicola,656421051,450684,3653774,0.006,0.0007,0,0,0.44199032686020295,0,-5.580199551928686,0,Normal,Verdadero Negativo
Estados Unidos,USA,2014,ovino,10858846,255435,5999222,0.552,0.0235,0,0,0.3953360056042796,0,-6.836736766617855,0,Normal,Verdadero Negativo
Estados Unidos,USA,2014,caprino,14894742,452615,8727112,0.586,0.0304,0,0,0.3900645015991088,0,-7.149412149846567,0,Normal,Verdadero Negativo
Estados Unidos,USA,2015,bovino,22686562,1964347,8876415,0.391,0.0866,0,0,0.42319140178506354,0,-7.586807277194128,0,Normal,Verdadero Negativo
Estados Unidos,USA,2015,porcino,14937593,1540551,13187728,0.883,0.1031,0,0,0.42502051355020376,0,-6.761781751283471,0,Normal,Verdadero Negativo
Estados Unidos,USA,2015,avicola,229350254,891154,16124248,0.07,0.0039,0,0,0.44468129339269236,0,-6.911230450536654,0,Normal,Verdadero Negativo
Estados Unidos,USA,2015,ovino,22734251,461968,3527633,0.155,0.0203,0,0,0.40774401557873813,0,-7.656546100144849,0,Normal,Verdadero Negativo
Estados Unidos,USA,2015,caprino,15246135,197973,10023410,0.657,0.013,0,0,0.40232462289685544,0,-7.702902646934496,0,Normal,Verdadero Negativo
Estados Unidos,USA,2016,bovino,1996735,5697570,7454577,3.733,1.0,1,1,0.5751509507868159,1,-4.205512446031967,1,Anomalía detectada,Verdadero Positivo
Estados Unidos,USA,2016,porcino,20230934,2729012,2973311,0.147,0.1349,0,0,0.4495599272012926,0,-5.421729767674711,0,Normal,Verdadero Negativo
Estados Unidos,USA,2016,avicola,1105742771,2048597,32383520,0.029,0.0019,0,0,0.4683651056204838,1,-4.763448684392505,0,Normal,Verdadero Negativo
Estados Unidos,USA,2016,ovino,13925088,16230,10172576,0.731,0.0012,0,0,0.4700470666738447,0,-4.7638718359988115,0,Normal,Verdadero Negativo
Estados Unidos,USA,2016,caprino,20714980,564615,2472208,0.119,0.0273,0,0,0.432600522119787,0,-6.727171041543908,0,Normal,Verdadero Negativo
Estados Unidos,USA,2017,bovino,40205287,3008386,43026747,1.07,0.0748,0,0,0.4255386283271571,0,-6.29247541716611,0,Normal,Verdadero Negativo
Estados Unidos,USA,2017,porcino,16914234,679348,12066193,0.713,0.0402,0,0,0.40161941775512744,0,-6.694843317801802,0,Normal,Verdadero Negativo
Estados Unidos,USA,2017,avicola,601864405,294493,2152165,0.004,0.0005,0,0,0.45595262609189147,0,-5.846133354807018,0,Normal,Verdadero Negativo
Estados Unidos,USA,2017,ovino,8031589,285101,11720542,1.459,0.0355,0,0,0.4046190392608291,0,-7.364885874453904,0,Normal,Verdadero Negativo
Estados Unidos,USA,2017,caprino,17502517,162820,4980527,0.285,0.0093,0,0,0.39371732425340833,0,-7.602963276966972,0,Normal,Verdadero Negativo
Estados Unidos,USA,2018,bovino,62313452,6536095,34556489,0.555,0.1049,0,0,0.4513931312412512,0,-6.104423012388995,0,Normal,Verdadero Negativo
Estados Unidos,USA,2018,porcino,1176608,1541063,6372037,5.416,1.0,1,1,0.5531433456885171,1,-4.763336835100763,1,Anomalía detectada,Verdadero Positivo
Estados Unidos,USA,2018,avicola,1050230096,407154,27546638,0.026,0.0004,0,0,0.44794231893726333,0,-6.186406927150941,0,Normal,Verdadero Negativo
Estados Unidos,USA,2018,ovino,15931771,230488,6228175,0.391,0.0145,0,0,0.3968371143894246,0,-8.028555696628779,0,Normal,Verdadero Negativo
Estados Unidos,USA,2018,caprino,16563310,207145,5203650,0.314,0.0125,0,0,0.39630868510482686,0,-8.260878264013778,0,Normal,Verdadero Negativo
Estados Unidos,USA,2019,bovino,15120062,4606064,15205793,1.006,0.3046,0,0,0.46066964260548016,0,-6.193866695824063,0,Normal,Verdadero Negativo
Estados Unidos,USA,2019,porcino,6327440,2523929,8297423,1.311,0.3989,0,0,0.46858427178482104,0,-6.182066527565567,0,Normal,Verdadero Negativo
Estados Unidos,USA,2019,avicola,1160844110,1895478,30802054,0.027,0.0016,0,0,0.46090051231262136,0,-4.961541254649483,0,Normal,Verdadero Negativo
Estados Unidos,USA,2019,ovino,14780573,577189,2730052,0.185,0.0391,0,0,0.417088951871711,0,-7.007051747419825,0,Normal,Verdadero Negativo
Estados Unidos,USA,2019,caprino,4341061,63882,461448,0.106,0.0147,0,0,0.4754853873396568,0,-5.390760099560466,0,Normal,Verdadero Negativo
Estados Unidos,USA,2020,bovino,33269089,1069815,35831415,1.077,0.0322,0,0,0.4231454633252768,0,-6.322857976228752,0,Normal,Verdadero Negativo
Estados Unidos,USA,2020,porcino,2352460,4277877,7910707,3.363,1.0,1,1,0.5472668444874197,1,-4.469003440173339,1,Anomalía detectada,Verdadero Positivo
Estados Unidos,USA,2020,avicola,256996172,638186,30444070,0.118,0.0025,0,0,0.4552458644881175,0,-5.84666395702916,0,Normal,Verdadero Negativo
Estados Unidos,USA,2020,ovino,20230809,102487,12573454,0.622,0.0051,0,0,0.4229537819286903,0,-6.427989628497936,0,Normal,Verdadero Negativo
Estados Unidos,USA,2020,caprino,12909968,460198,8614636,0.667,0.0356,0,0,0.4021769463470994,0,-7.431654487443139,0,Normal,Verdadero Negativo
India,IND,2011,bovino,44219668,3366010,20006981,0.452,0.0761,0,0,0.4149684289823389,0,-6.931136272197547,0,Normal,Verdadero Negativo
India,IND,2011,porcino,9780000,1449315,15196555,1.554,0.1482,0,0,0.42375428586831804,0,-6.617711374439707,0,Normal,Verdadero Negativo
India,IND,2011,avicola,974372621,966725,23519297,0.024,0.001,0,0,0.43539382907548435,0,-6.051997573927977,0,Normal,Verdadero Negativo
India,IND,2011,ovino,13830889,21924,535342,0.039,0.0016,0,0,0.4712687380792159,0,-5.270888122488237,0,Normal,Verdadero Negativo
India,IND,2011,caprino,13084726,462479,9136151,0.698,0.0353,0,0,0.38671902035418726,0,-8.027049909908055,0,Normal,Verdadero Negativo
India,IND,2012,bovino,45447509,2988376,43395709,0.955,0.0658,0,0,0.46693906351140346,0,-5.336988540597213,0,Normal,Verdadero Negativo
India,IND,2012,porcino,8502644,2399373,6974218,0.82,0.2822,0,0,0.4644664567368478,0,-5.688287006652183,0,Normal,Verdadero Negativo
India,IND,2012,avicola,670428088,894780,27865182,0.042,0.0013,0,0,0.4790120680172758,0,-5.0939241737921614,0,Normal,Verdadero Negativo
India,IND,2012,ovino,21367442,252780,7309528,0.342,0.0118,0,0,0.4268567259823294,0,-6.452675559877225,0,Normal,Verdadero Negativo
India,IND,2012,caprino,6071118,223420,5614947,0.925,0.0368,0,0,0.43214428401878774,0,-6.4954802187911795,0,Normal,Verdadero Negativo
India,IND,2013,bovino,31767986,2080129,9919546,0.312,0.0655,0,0,0.39247872349572893,0,-8.182387652600195,0,Normal,Verdadero Negativo
India,IND,2013,porcino,21912672,1924622,16158310,0.737,0.0878,0,0,0.40535004775285927,0,-6.844909722531225,0,Normal,Verdadero Negativo
India,IND,2013,avicola,1041585569,682656,30759724,0.03,0.0007,0,0,0.42974400477717806,0,-6.304466155624111,0,Normal,Verdadero Negativo
India,IND,2013,ovino,10285276,105832,1575457,0.153,0.0103,0,0,0.40316247851605985,0,-7.710969190432255,0,Normal,Verdadero Negativo
India,IND,2013,caprino,413904,316918,2525842,6.102,0.7657,1,1,0.5434457291944477,0,-5.228750662740611,0,Anomalía detectada,Verdadero Positivo
India,IND,2014,bovino,45044678,4283533,24771058,0.55,0.0951,0,0,0.40288038058823,0,-6.942413528262228,0,Normal,Verdadero Negativo
India,IND,2014,porcino,5370427,2204066,12263356,2.283,0.4104,0,0,0.4359807970392471,0,-7.1400684850714455,0,Normal,Verdadero Negativo
India,IND,2014,avicola,426677570,543663,10008970,0.023,0.0013,0,0,0.40339620893286315,0,-7.277290404634805,0,Normal,Verdadero Negativo
India,IND,2014,ovino,8723956,187120,10577948,1.213,0.0214,0,0,0.3826660605939659,0,-7.813220175166415,0,Normal,Verdadero Negativo
India,IND,2014,caprino,12698870,407677,965290,0.076,0.0321,0,0,0.39670441963738706,0,-7.418283648004245,0,Normal,Verdadero Negativo
India,IND,2015,bovino,13263507,304076,39624746,2.988,0.0229,1,0,0.44431719805296,0,-6.578148189471254,0,Normal,Falso Negativo
India,IND,2015,porcino,4611350,548487,2876326,0.624,0.1189,0,0,0.40407755758853336,0,-7.280515233575023,0,Normal,Verdadero Negativo
India,IND,2015,avicola,893475324,444893,3821793,0.004,0.0005,0,0,0.42914552630185737,0,-6.485484277987132,0,Normal,Verdadero Negativo
India,IND,2015,ovino,12630970,501574,3723165,0.295,0.0397,0,0,0.3751129660753632,0,-8.067314199387685,0,Normal,Verdadero Negativo
India,IND,2015,caprino,15335308,391621,6533970,0.426,0.0255,0,0,0.37276179847403884,0,-8.452046072653356,0,Normal,Verdadero Negativo
India,IND,2016,bovino,44631079,716521,30294176,0.679,0.0161,0,0,0.42349939672055303,0,-7.302432938885934,0,Normal,Verdadero Negativo
India,IND,2016,porcino,13675088,3420964,10005527,0.732,0.2502,0,0,0.4449197184150464,0,-6.4328118434931385,0,Normal,Verdadero Negativo
India,IND,2016,avicola,250202005,936694,1727938,0.007,0.0037,0,0,0.47127679833946506,0,-6.042906265361002,0,Normal,Verdadero Negativo
India,IND,2016,ovino,17773713,312851,584519,0.033,0.0176,0,0,0.4434195970079455,0,-6.078809933992331,0,Normal,Verdadero Negativo
