imagen_id,pais,region,anio,mes,indice_ndvi_promedio,indice_ndvi_min,indice_ndvi_max,indice_evi,humedad_suelo_estimada,cobertura_nubes,flag_ndvi_anomalo,anomalia_predicha_zscore,zscore_valor,anomalia_predicha_ae,reconstruction_error,consensus_anomalia,estado_ndvi,resultado_validacion
SAT_IND_202502_092,India,Punjab,2025,2,0.643,0.523,0.732,0.815,0.518,0.036,0,0,-0.21851426832718604,0,0.6812193717829667,0,Vegetación normal,Verdadero Negativo
SAT_IND_202507_100,India,Deccan,2025,7,0.867,0.523,1.044,1.057,0.62,0.182,1,0,1.1731216993722224,0,0.6267837500994992,0,Vegetación normal,Falso Negativo
SAT_AUS_202510_105,Australia,Tasmania,2025,10,0.686,0.486,0.77,0.797,0.687,0.034,0,0,0.11668097770029358,0,0.4762264231981193,0,Vegetación normal,Verdadero Negativo
SAT_IND_202601_109,India,Punjab,2026,1,0.449,0.379,0.519,0.52,0.341,0.15,0,0,-1.4237704189239953,0,0.4694765422430214,0,Vegetación normal,Verdadero Negativo
SAT_AUS_202604_114,Australia,Wheatbelt,2026,4,0.739,0.456,0.862,0.899,0.748,0.017,0,0,0.4061983849154405,0,0.4187658018040952,0,Vegetación normal,Verdadero Negativo
SAT_AUS_202607_118,Australia,Murray-Darling Basin,2026,7,0.929,0.647,1.117,1.106,0.611,0.036,1,0,1.444090976818799,0,0.6517282439375923,0,Vegetación normal,Falso Negativo
SAT_IND_202608_120,India,Deccan,2026,8,0.711,0.514,0.812,0.886,0.724,0.156,0,0,0.20394665043870555,0,0.1017315190575867,0,Vegetación normal,Verdadero Negativo
SAT_AUS_202609_121,Australia,Murray-Darling Basin,2026,9,0.84,0.597,1.006,1.072,0.852,0.197,1,0,0.9579202364009098,0,0.7035444044661003,0,Vegetación normal,Falso Negativo
SAT_IND_202703_131,India,Deccan,2027,3,0.417,0.29,0.477,0.487,0.317,0.218,0,1,-1.6225755571667682,0,0.4606995682167661,0,Vegetación normal,Verdadero Negativo
SAT_AUS_202708_139,Australia,Tasmania,2027,8,0.854,0.582,1.005,0.989,0.844,0.036,1,0,1.0343965326464204,0,0.7241753220006044,0,Vegetación normal,Falso Negativo
SAT_IND_202709_141,India,Coastal,2027,9,0.825,0.574,0.878,1.057,0.835,0.107,0,0,0.912189955428583,0,0.5265173351136263,0,Vegetación normal,Verdadero Negativo
SAT_IND_202802_150,India,Punjab,2028,2,0.449,0.299,0.535,0.51,0.204,0.01,0,0,-1.4237704189239953,0,0.566391606750358,0,Vegetación normal,Verdadero Negativo
SAT_AUS_202804_152,Australia,Murray-Darling Basin,2028,4,0.631,0.39,0.703,0.818,0.57,0.006,0,0,-0.18376161469278407,0,0.6295007184235237,0,Vegetación normal,Verdadero Negativo
SAT_AUS_202807_158,Australia,Wheatbelt,2028,7,0.769,0.572,0.906,0.882,0.653,0.142,0,0,0.570076162584392,0,0.080486687046463,0,Vegetación normal,Verdadero Negativo
SAT_AUS_202811_163,Australia,Tasmania,2028,11,0.68,0.535,0.789,0.838,0.497,0.064,0,0,0.08390542216650329,0,0.35963977745290376,0,Vegetación normal,Verdadero Negativo
SAT_IND_202903_168,India,Deccan,2029,3,0.613,0.436,0.666,0.745,0.483,0.043,0,0,-0.40489408542978556,0,0.19541322058620628,0,Vegetación normal,Verdadero Negativo
SAT_IND_202904_170,India,Coastal,2029,4,0.846,0.563,1.032,1.039,0.898,0.033,1,0,1.0426558274004027,0,0.7256736653138463,0,Vegetación normal,Falso Negativo
SAT_AUS_202905_171,Australia,Murray-Darling Basin,2029,5,0.786,0.56,0.931,0.899,0.805,0.165,0,0,0.6629402365967978,0,0.42180064180783783,0,Vegetación normal,Verdadero Negativo
SAT_IND_202910_179,India,Coastal,2029,10,0.618,0.421,0.708,0.694,0.665,0.237,0,0,-0.3738307825793523,0,0.34369464174465925,0,Vegetación normal,Verdadero Negativo
SAT_AUS_203003_188,Australia,Wheatbelt,2030,3,0.456,0.289,0.538,0.581,0.31,0.078,0,0,-1.1397153177616666,0,0.4068714448646907,0,Vegetación normal,Verdadero Negativo
SAT_AUS_203004_190,Australia,Murray-Darling Basin,2030,4,0.863,0.519,1.016,1.065,0.723,0.18,1,0,1.083559865947106,0,0.7683646848554943,0,Vegetación normal,Falso Negativo
SAT_IND_203007_194,India,Deccan,2030,7,0.867,0.699,1.074,1.117,0.658,0.29,1,0,1.1731216993722224,1,1.4420107697763958,0,Anomalía NDVI detectada,Verdadero Positivo
SAT_IND_203009_196,India,Punjab,2030,9,0.638,0.469,0.779,0.739,0.668,0.031,0,0,-0.2495775711776193,0,0.3318259272786639,0,Vegetación normal,Verdadero Negativo
SAT_IND_203011_199,India,Coastal,2030,11,0.523,0.415,0.619,0.652,0.467,0.198,0,0,-0.9640335367375835,0,0.4608131688623412,0,Vegetación normal,Verdadero Negativo
SAT_AUS_203101_203,Australia,Tasmania,2031,1,0.337,0.221,0.399,0.375,0.29,0.27,0,1,-1.7897638358485068,1,0.8769368719443309,1,Anomalía NDVI detectada,Falso Positivo
SAT_IND_203106_211,India,Coastal,2031,6,0.858,0.693,0.968,1.11,0.846,0.225,0,0,1.1172077542414425,1,1.0343734483468876,0,Anomalía NDVI detectada,Falso Positivo
SAT_IND_203107_213,India,Ganges,2031,7,0.793,0.521,0.929,0.975,0.781,0.001,0,0,0.7133848171858109,0,0.44140448127532483,0,Vegetación normal,Verdadero Negativo
SAT_AUS_203110_217,Australia,Murray-Darling Basin,2031,10,0.835,0.526,0.926,1.071,0.659,0.184,0,0,0.9306072734560846,0,0.4313620807243862,0,Vegetación normal,Verdadero Negativo
SAT_AUS_203112_220,Australia,Murray-Darling Basin,2031,12,0.455,0.367,0.535,0.518,0.301,0.041,0,0,-1.1451779103506317,1,1.5925719620225864,0,Anomalía NDVI detectada,Falso Positivo
SAT_IND_203202_223,India,Punjab,2032,2,0.383,0.255,0.428,0.45,0.388,0.255,0,1,-1.8338060165497139,1,0.8052740534968528,1,Anomalía NDVI detectada,Falso Positivo
SAT_IND_203204_226,India,Deccan,2032,4,0.619,0.394,0.673,0.8,0.495,0.104,0,0,-0.3676181220092657,0,0.16167175425310948,0,Vegetación normal,Verdadero Negativo
SAT_AUS_203207_230,Australia,Wheatbelt,2032,7,0.764,0.626,0.935,0.908,0.639,0.033,0,0,0.5427631996395668,0,0.49075212234340554,0,Vegetación normal,Verdadero Negativo
SAT_IND_203207_231,India,Deccan,2032,7,0.923,0.66,1.151,1.15,0.88,0.21,1,1,1.521030691297075,1,1.2368865224747356,1,Anomalía NDVI detectada,Verdadero Positivo
SAT_AUS_203208_232,Australia,Wheatbelt,2032,8,0.793,0.647,0.879,0.909,0.616,0.007,0,0,0.7011783847195532,0,0.6453670500401233,0,Vegetación normal,Verdadero Negativo
SAT_IND_203301_239,India,Ganges,2033,1,0.405,0.28,0.495,0.512,0.479,0.112,0,1,-1.6971274840078077,1,0.8736726425041645,1,Anomalía NDVI detectada,Falso Positivo
SAT_IND_203305_246,India,Ganges,2033,5,0.648,0.399,0.793,0.838,0.496,0.008,0,0,-0.18745096547675277,0,0.41016149153543946,0,Vegetación normal,Verdadero Negativo
