pais,cultivo,rank_recomendacion,score_final,es_top3,rendimiento_predicho_log,rendimiento_predicho_ton,tasa_plaga,penalizacion_plaga,precio_norm,bonus_precio,rendimiento_real_log,rendimiento_real_ton,error_prediccion_log,dias_con_heladas,temperatura_promedio,precipitacion_total,indice_aridez,alpha_usado,beta_usado,modelo,riesgo_plaga_categoria,rentabilidad_categoria,zona_climatica
Estados Unidos,Arroz,5,1.4516,False,1.8881,5.61,1.0,0.5,0.317,0.0635,1.901,,-0.0129,57.2,17.2,953.2,16.092,0.5,0.2,XGBoost,Alto,Baja,Templado
Estados Unidos,Té,6,1.1518,False,1.1518,2.16,0.0,0.0,0.0,0.0,0.9811,,0.1707,57.2,17.2,953.2,16.092,0.5,0.2,XGBoost,Bajo,Baja,Templado
Estados Unidos,Girasol,7,1.1478,False,1.1478,2.15,0.0,0.0,0.0,0.0,1.1623,,-0.0145,57.2,17.2,953.2,16.092,0.5,0.2,XGBoost,Bajo,Baja,Templado
Estados Unidos,Algodón,8,1.146,False,1.246,2.48,0.2,0.1,0.0,0.0,1.3397,,-0.0937,57.2,17.2,953.2,16.092,0.5,0.2,XGBoost,Bajo,Baja,Templado
Estados Unidos,Soja,9,1.1196,False,1.5196,3.57,0.8,0.4,0.0,0.0,,,,57.2,17.2,953.2,16.092,0.5,0.2,XGBoost,Alto,Baja,Templado
Estados Unidos,Café,10,0.8816,False,0.8816,1.41,0.0,0.0,0.0,0.0,,,,57.2,17.2,953.2,16.092,0.5,0.2,XGBoost,Bajo,Baja,Templado
Francia,Caña de azúcar,1,4.2642,True,4.5642,94.99,0.6,0.3,0.0,0.0,4.2781,,0.2861,61.7,17.2,1003.4,16.75,0.5,0.2,XGBoost,Medio,Baja,Templado
Francia,Maíz,2,1.9214,True,1.8925,5.64,0.0,0.0,0.145,0.029,1.9896,,-0.0971,61.7,17.2,1003.4,16.75,0.5,0.2,XGBoost,Bajo,Baja,Templado
Francia,Arroz,3,1.8294,True,1.8294,5.23,0.0,0.0,0.0,0.0,,,,61.7,17.2,1003.4,16.75,0.5,0.2,XGBoost,Bajo,Baja,Templado
Francia,Trigo,4,1.6953,False,1.6224,4.07,0.0,0.0,0.364,0.0729,1.6552,,-0.0328,61.7,17.2,1003.4,16.75,0.5,0.2,XGBoost,Bajo,Media,Templado
Francia,Soja,5,1.3951,False,1.4319,3.19,0.2,0.1,0.316,0.0632,1.5415,,-0.1096,61.7,17.2,1003.4,16.75,0.5,0.2,XGBoost,Bajo,Baja,Templado
Francia,Cebada,6,1.3819,False,1.6819,4.38,0.6,0.3,0.0,0.0,1.6799,,0.002,61.7,17.2,1003.4,16.75,0.5,0.2,XGBoost,Medio,Baja,Templado
Francia,Algodón,7,1.1285,False,1.3285,2.78,0.4,0.2,0.0,0.0,1.2865,,0.042,61.7,17.2,1003.4,16.75,0.5,0.2,XGBoost,Medio,Baja,Templado
Francia,Té,8,0.8857,False,1.0857,1.96,0.4,0.2,0.0,0.0,,,,61.7,17.2,1003.4,16.75,0.5,0.2,XGBoost,Medio,Baja,Templado
Francia,Café,9,0.8452,False,0.8452,1.33,0.0,0.0,0.0,0.0,0.8173,,0.0279,61.7,17.2,1003.4,16.75,0.5,0.2,XGBoost,Bajo,Baja,Templado
Francia,Girasol,10,0.7405,False,1.1405,2.13,0.8,0.4,0.0,0.0,1.2249,,-0.0844,61.7,17.2,1003.4,16.75,0.5,0.2,XGBoost,Alto,Baja,Templado
India,Caña de azúcar,1,4.4647,True,4.5647,95.03,0.2,0.1,0.0,0.0,4.4755,,0.0892,57.0,18.0,937.9,15.84,0.5,0.2,XGBoost,Bajo,Baja,Templado
India,Maíz,2,1.9443,True,2.0443,6.72,0.2,0.1,0.0,0.0,,,,57.0,18.0,937.9,15.84,0.5,0.2,XGBoost,Bajo,Baja,Templado
India,Trigo,3,1.8433,True,2.005,6.43,0.6,0.3,0.692,0.1384,1.9103,,0.0947,57.0,18.0,937.9,15.84,0.5,0.2,XGBoost,Medio,Alta,Templado
India,Arroz,4,1.7583,False,1.9278,5.87,0.4,0.2,0.153,0.0305,1.8659,,0.0619,57.0,18.0,937.9,15.84,0.5,0.2,XGBoost,Medio,Baja,Templado
India,Cebada,5,1.6454,False,1.6454,4.18,0.0,0.0,0.0,0.0,1.6343,,0.0111,57.0,18.0,937.9,15.84,0.5,0.2,XGBoost,Bajo,Baja,Templado
India,Soja,6,1.5369,False,1.5369,3.65,0.0,0.0,0.0,0.0,,,,57.0,18.0,937.9,15.84,0.5,0.2,XGBoost,Bajo,Baja,Templado
India,Algodón,7,1.3281,False,1.3281,2.77,0.0,0.0,0.0,0.0,1.2494,,0.0787,57.0,18.0,937.9,15.84,0.5,0.2,XGBoost,Bajo,Baja,Templado
India,Girasol,8,1.2157,False,1.2157,2.37,0.0,0.0,0.0,0.0,1.2274,,-0.0117,57.0,18.0,937.9,15.84,0.5,0.2,XGBoost,Bajo,Baja,Templado
India,Té,9,0.9877,False,1.0877,1.97,0.2,0.1,0.0,0.0,0.9663,,0.1214,57.0,18.0,937.9,15.84,0.5,0.2,XGBoost,Bajo,Baja,Templado
India,Café,10,0.8866,False,0.8866,1.43,0.0,0.0,0.0,0.0,0.7647,,0.1219,57.0,18.0,937.9,15.84,0.5,0.2,XGBoost,Bajo,Baja,Templado
Kenia,Caña de azúcar,1,4.3051,True,4.3051,73.08,0.0,0.0,0.0,0.0,4.4252,,-0.1201,65.0,20.1,822.3,12.851,0.5,0.2,XGBoost,Bajo,Baja,Templado
Kenia,Maíz,2,1.9055,True,1.7834,4.95,0.0,0.0,0.611,0.1221,1.8907,,-0.1073,65.0,20.1,822.3,12.851,0.5,0.2,XGBoost,Bajo,Media,Templado
Kenia,Arroz,3,1.8041,True,1.7311,4.65,0.0,0.0,0.365,0.073,1.893,,-0.1619,65.0,20.1,822.3,12.851,0.5,0.2,XGBoost,Bajo,Media,Templado
Kenia,Trigo,4,1.6977,False,1.6977,4.46,0.0,0.0,0.0,0.0,1.8325,,-0.1348,65.0,20.1,822.3,12.851,0.5,0.2,XGBoost,Bajo,Baja,Templado
Kenia,Cebada,5,1.5789,False,1.5789,3.85,0.0,0.0,0.0,0.0,1.6029,,-0.024,65.0,20.1,822.3,12.851,0.5,0.2,XGBoost,Bajo,Baja,Templado
Kenia,Soja,6,1.4566,False,1.4566,3.29,0.0,0.0,0.0,0.0,,,,65.0,20.1,822.3,12.851,0.5,0.2,XGBoost,Bajo,Baja,Templado
Kenia,Algodón,7,1.1598,False,1.1598,2.19,0.0,0.0,0.0,0.0,,,,65.0,20.1,822.3,12.851,0.5,0.2,XGBoost,Bajo,Baja,Templado
Kenia,Girasol,8,1.1015,False,1.1015,2.01,0.0,0.0,0.0,0.0,1.2601,,-0.1586,65.0,20.1,822.3,12.851,0.5,0.2,XGBoost,Bajo,Baja,Templado
Kenia,Té,9,1.034,False,1.034,1.81,0.0,0.0,0.0,0.0,1.0985,,-0.0645,65.0,20.1,822.3,12.851,0.5,0.2,XGBoost,Bajo,Baja,Templado
Kenia,Café,10,0.7953,False,0.7953,1.22,0.0,0.0,0.0,0.0,0.8888,,-0.0935,65.0,20.1,822.3,12.851,0.5,0.2,XGBoost,Bajo,Baja,Templado
México,Caña de azúcar,1,4.4158,True,4.4158,81.75,0.0,0.0,0.0,0.0,4.457,,-0.0412,68.0,17.7,833.4,12.891,0.5,0.2,XGBoost,Bajo,Baja,Templado
México,Maíz,2,2.1033,True,1.9819,6.26,0.0,0.0,0.607,0.1213,1.9915,,-0.0096,68.0,17.7,833.4,12.891,0.5,0.2,XGBoost,Bajo,Media,Templado
México,Arroz,3,1.9011,True,1.9011,5.69,0.0,0.0,0.0,0.0,1.872,,0.0291,68.0,17.7,833.4,12.891,0.5,0.2,XGBoost,Bajo,Baja,Templado
México,Trigo,4,1.8574,False,1.7549,4.78,0.0,0.0,0.513,0.1025,1.8433,,-0.0884,68.0,17.7,833.4,12.891,0.5,0.2,XGBoost,Bajo,Media,Templado
México,Cebada,5,1.6218,False,1.6218,4.06,0.0,0.0,0.0,0.0,1.6059,,0.0159,68.0,17.7,833.4,12.891,0.5,0.2,XGBoost,Bajo,Baja,Templado
México,Soja,6,1.6184,False,1.5372,3.65,0.0,0.0,0.406,0.0812,1.4698,,0.0674,68.0,17.7,833.4,12.891,0.5,0.2,XGBoost,Bajo,Media,Templado
México,Algodón,7,1.3076,False,1.3076,2.7,0.0,0.0,0.0,0.0,1.3185,,-0.0109,68.0,17.7,833.4,12.891,0.5,0.2,XGBoost,Bajo,Baja,Templado
México,Girasol,8,1.2523,False,1.2523,2.5,0.0,0.0,0.0,0.0,,,,68.0,17.7,833.4,12.891,0.5,0.2,XGBoost,Bajo,Baja,Templado
México,Té,9,1.1553,False,1.1553,2.17,0.0,0.0,0.0,0.0,,,,68.0,17.7,833.4,12.891,0.5,0.2,XGBoost,Bajo,Baja,Templado
México,Café,10,0.9385,False,0.9385,1.56,0.0,0.0,0.0,0.0,0.8961,,0.0424,68.0,17.7,833.4,12.891,0.5,0.2,XGBoost,Bajo,Baja,Templado
